Name,Age,Nominating party,Political party,Votes 2006,Percentual gain 2006,Ballot rank,Final rank,Mandate
Černý Pavel Ing.,46,KDU-ČSL,BEZPP,1479.0,2.87,23,-,-
Červená Alenka,71,NK,BEZPP,308.0,2.45,9,-,-
Daňo Vladimír,55,KSČM,KSČM,3927.0,2.69,15,10,-
Derner Pavel Ing.,39,NK,BEZPP,411.0,2.77,20,-,-
Divíšek Otakar Ing.,53,ODS,ODS,14878.0,3.06,1,1,*
Djebara Barbora,33,NK,BEZPP,519.0,4.14,3,-,-
Dlabáčková Eva,57,NK,BEZPP,2272.0,2.6,20,17,-
Doležal Jiří,77,NK,BEZPP,2097.0,2.4,24,21,-
Doležal Vladimír,43,US-DEU,US-DEU,385.0,2.59,7,-,-
Doležalová Renáta,19,NK,BEZPP,323.0,2.18,25,-,-
Doskočil Jan Ing.,64,VPM,VPM,3220.0,3.44,2,2,-
Doskočil Pavel Mgr.,38,VPM,BEZPP,2537.0,2.71,19,16,-
Dršatová Dita Mgr.,36,NK,BEZPP,2673.0,3.06,3,2,-
Duchoň Radoslav,49,SOS,BEZPP,2125.0,2.43,27,24,-
Dürrer Jan Ing.,52,SOS,BEZPP,2437.0,2.79,9,7,-
Dus Rudolf Bc.,51,ČSSD,ČSSD,5004.0,2.89,3,5,*
Dvořák Martin Ing.,49,VPM,VPM,2327.0,2.49,37,34,-
Džbánek Jiří,72,VPM,BEZPP,2135.0,2.28,28,25,-
Falta Jan Ing. arch.,40,KDU-ČSL,KDU-ČSL,1849.0,3.59,2,-,-
Faltýnek Jan Mgr.,47,VPM,BEZPP,2605.0,2.78,16,13,-
Fechtnerová Aneta Bc.,23,SZ,SZ,1538.0,3.43,2,-,-
Ferčák Dušan Ing.,44,ČSSD,ČSSD,4756.0,2.75,16,9,-
Fiala Michal,38,NK,BEZPP,355.0,2.83,7,-,-
Fiedler Jiří Ing.,50,VPM,BEZPP,1889.0,2.02,35,32,-
Fiedler Zdeněk MUDr. Ph.D.,40,NK,BEZPP,591.0,3.99,9,-,-
Finfrlová Pavla Ing.,56,ODS,ODS,14045.0,2.89,3,4,*
Fink Zdeněk MUDr.,51,SOS,BEZPP,4684.0,5.37,1,1,*
Fischerová Jana Prim. MUDr.,38,ODS,ODS,12077.0,2.49,34,15,-
Fogl Lukáš,24,US-DEU,US-DEU,313.0,2.11,14,-,-
Foglová Milena,53,US-DEU,US-DEU,263.0,1.77,37,-,-
Gajgová Vlasta,80,NK,BEZPP,276.0,2.2,18,-,-
Geregová Eva Mgr.,25,KSČM,BEZPP,4072.0,2.79,7,2,-
Gregar Alexandr,62,NK,BEZPP,2368.0,2.71,13,10,-
Haluza Radovan PharmDr. Ph.D.,45,US-DEU,US-DEU,685.0,4.62,2,-,-
Hamáček Josef Bc.,56,NEZ/DEM,NEZ/DEM,393.0,3.13,4,-,-
Hampl Libor,49,NK,BEZPP,330.0,2.63,23,-,-
Hanuš Jiří,43,KDU-ČSL,BEZPP,1438.0,2.79,13,-,-
Háp Zdeněk PaedDr.,63,KDU-ČSL,KDU-ČSL,1392.0,2.7,20,-,-
Hartig Zdeněk,48,VPM,BEZPP,2441.0,2.61,18,15,-
Havlíček Michal PhDr.,51,VPM,BEZPP,2381.0,2.54,13,11,-
Havrda Alois Ing.,60,KSČM,BEZPP,4275.0,2.93,3,3,*
Havrda Miroslav MUDr.,42,VPM,BEZPP,2439.0,2.61,21,18,-
Heger Leoš MUDr. Doc.,58,ODS,BEZPP,14609.0,3.01,10,2,*
Hendrychová Jitka,43,VPM,BEZPP,2018.0,2.16,32,29,-
Herman Boris Ing.,42,ODS,ODS,13541.0,2.79,5,6,*
Hladík Pavel,58,KSČM,KSČM,3926.0,2.69,17,12,-
Hlavatý Lubomír,54,KSČM,KSČM,3903.0,2.67,20,15,-
Hloušek Miroslav,62,SZ,SZ,1116.0,2.49,19,-,-
Hloušková Jana,32,SZ,BEZPP,1080.0,2.41,26,-,-
Hochmanová Monika,25,NK,BEZPP,289.0,2.3,31,-,-
Holubcová Ludmila Ing.,67,KSČM,BEZPP,3931.0,2.69,12,7,-
Homola Vladimír,39,SNK ED,BEZPP,412.0,2.04,29,-,-
Honegr Jan Ing.,52,ČSSD,ČSSD,4656.0,2.69,23,16,-
Hora Jan Ing.,51,US-DEU,US-DEU,448.0,3.02,11,-,-
Horák Zdeněk,64,NK,BEZPP,292.0,2.33,16,-,-
Horváth Roman,33,SNK ED,BEZPP,479.0,2.37,8,-,-
Hovorka Jaroslav,63,US-DEU,US-DEU,303.0,2.04,31,-,-
Hovorková Ludmila Mgr.,58,NK,BEZPP,918.0,6.19,3,-,-
Hrbatý Julius,64,KSČM,KSČM,3832.0,2.62,30,25,-
Hronešová Lenka Bc.,41,SZ,BEZPP,1340.0,2.99,15,-,-
Hrubeš Karel Ing.,33,NK,BEZPP,783.0,6.24,2,-,-
Hrušková Jana,46,NK,BEZPP,347.0,2.34,13,-,-
Hylmar Petr Ing.,47,KDU-ČSL,BEZPP,1301.0,2.53,29,-,-
Hypská Vilma MVDr.,35,VPM,BEZPP,1913.0,2.04,36,33,-
Hýsek Jan MUDr.,31,SNK ED,SNK ED,689.0,3.41,5,-,-
Hýsková Jaroslava MUDr.,62,SNK ED,BEZPP,387.0,1.92,36,-,-
Chalupník Jiří Ing.,66,KSČM,KSČM,3810.0,2.61,32,27,-
Chytráčková Anna,22,NK,BEZPP,327.0,2.6,21,-,-
Chytráčková Iveta,22,NK,BEZPP,280.0,2.23,35,-,-
Janečková Jitka,40,SOS,BEZPP,2212.0,2.53,17,14,-
Jaroš Emil Prim.MUDr. Ph.D.,62,ODS,ODS,13665.0,2.81,9,10,*
Jaroš Milan,39,ČSSD,ČSSD,4963.0,2.87,5,6,*
Jarošová Jitka,35,KSČM,KSČM,3913.0,2.68,19,14,-
Jedlička Jaroslav,57,SNK ED,BEZPP,428.0,2.12,27,-,-
Jedlička Jiří,55,SZ,BEZPP,1143.0,2.55,14,-,-
Jelínková Pavlína Bc.,28,NK,BEZPP,464.0,3.13,6,-,-
Jeřábek Karel,67,SOS,BEZPP,2003.0,2.29,29,26,-
Jezbera Daniel RNDr.,43,KDU-ČSL,KDU-ČSL,1506.0,2.93,8,-,-
Ježek Petr,37,"""KČ""","""KČ""",135.0,13.81,3,-,-
Jindřišek Petr,36,SNK ED,BEZPP,410.0,2.03,24,-,-
Jirásek Záviš,60,KSČM,KSČM,4008.0,2.74,8,3,-
Jireš Rostislav Ing.,43,ČSSD,ČSSD,5137.0,2.97,4,2,*
Jiroutová Olga,29,ČSSD,ČSSD,4675.0,2.7,17,10,-
Jiruchová Hana Ing.,44,ODS,ODS,11388.0,2.34,36,17,-
Juhás Ignác,62,NK,BEZPP,308.0,2.45,10,-,-
Juhás Radek,36,NK,BEZPP,301.0,2.4,20,-,-
Juhásová Jaroslava,29,NK,BEZPP,271.0,2.16,34,-,-
Jukl Richard Ing.,38,VPM,BEZPP,2930.0,3.13,6,6,-
Jůza Emil,70,NK,BEZPP,1816.0,2.08,35,32,-
Kadlecová Vendula,23,SZ,BEZPP,1191.0,2.66,13,-,-
Kalátová Julie,29,SNK ED,BEZPP,478.0,2.37,16,-,-
Kalenda Otakar,22,ČSSD,ČSSD,4778.0,2.76,11,4,-
Kašková Edita,34,ODS,ODS,12557.0,2.59,30,11,-
Kica Josef,63,KSČM,KSČM,3867.0,2.65,24,19,-
Klouček František Ing.,74,NEZ/DEM,BEZPP,319.0,2.54,8,-,-
Kloučková Alžběta,69,NEZ/DEM,BEZPP,280.0,2.23,17,-,-
Kocábková Jana,51,NK,BEZPP,1926.0,2.2,33,30,-
Kokeš Jiří MUDr.,47,SNK ED,SNK ED,575.0,2.85,18,-,-
Kolář Jiří,54,NK,BEZPP,309.0,2.46,19,-,-
Koros Bedřich Ing.,62,ODS,ODS,13102.0,2.7,20,1,-
Kořínek Eduard Mgr.,59,KSČM,KSČM,3981.0,2.72,16,11,-
Kos Martin,35,SNK ED,BEZPP,467.0,2.31,13,-,-
Košťál Tomáš,24,NK,BEZPP,278.0,1.87,36,-,-
Koutník Václav Ing.,62,ODS,ODS,13136.0,2.7,17,17,*
Kovařík Břetislav,56,NK,BEZPP,2322.0,2.66,21,18,-
Kovařík Zdeněk,75,ODS,BEZPP,12500.0,2.57,31,12,-
Kračmar Jaroslav,54,KSČM,KSČM,3867.0,2.65,25,20,-
Krása Marek,25,KDU-ČSL,BEZPP,1155.0,2.24,32,-,-
Krejcar Jiří,65,KSČM,KSČM,3703.0,2.53,36,31,-
Krejcar Ondřej,23,NK,BEZPP,296.0,2.36,32,-,-
Krejčová Radka,22,SZ,BEZPP,1231.0,2.75,11,-,-
Krofta Jakub Mgr.,35,VPM,BEZPP,3227.0,3.45,12,1,-
Křivánková Lenka,55,ČSSD,ČSSD,4649.0,2.69,19,12,-
Křížová Eva,67,KSČM,KSČM,3602.0,2.46,37,32,-
Kubica Jaroslav RNDr.,47,ČSSD,ČSSD,4849.0,2.8,7,7,*
Kučera Jan,60,SNK ED,BEZPP,394.0,1.95,35,-,-
Kvasnička Jiří Prof. MUDr. CSc.,72,VPM,BEZPP,2629.0,2.81,17,14,-
Kvasničková Eva Prof. RNDr. CSc.,72,VPM,BEZPP,2728.0,2.92,11,10,-
Lahučká Jana,39,SZ,BEZPP,1096.0,2.44,20,-,-
Landmesserová Sylvie,29,"""KČ""",BEZPP,156.0,15.96,6,-,-
Lankašová Taťána PhDr.,53,KSČM,KSČM,3997.0,2.73,18,13,-
Lapáčková Konstantýna,76,US-DEU,US-DEU,298.0,2.01,26,-,-
Lapeš Jan,26,SNK ED,SNK ED,629.0,3.12,2,-,-
Lazáková Kateřina,29,SZ,BEZPP,1258.0,2.81,7,-,-
Lesák Tomáš,45,ČSSD,ČSSD,4762.0,2.75,14,7,-
Linhart Ivo,53,SZ,SZ,1212.0,2.7,8,-,-
Linhart Václav,55,KDU-ČSL,KDU-ČSL,1048.0,2.03,35,-,-
Lisý Pavel Ing.,40,KDU-ČSL,BEZPP,1428.0,2.77,12,-,-
Ludvík Václav Ing.,59,VPM,BEZPP,2438.0,2.61,10,9,-
Luňák Radek,35,SZ,BEZPP,951.0,2.12,34,-,-
Luska Petr,41,ČSSD,ČSSD,5059.0,2.92,1,3,*
Lusková Marie,64,ČSSD,ČSSD,4500.0,2.6,28,21,-
Lyko Jan,32,"""KČ""","""KČ""",112.0,11.46,4,-,-
Maclová Anna Ing.,46,KDU-ČSL,BEZPP,1798.0,3.49,9,-,-
Mahler Petr Ing.,43,VPM,BEZPP,2222.0,2.37,25,22,-
Macháček Pavel Ing.,31,NK,BEZPP,429.0,2.89,15,-,-
Málek Bořek Ing.,41,ODS,ODS,12227.0,2.52,33,14,-
Málek Bořivoj Ing.,65,SNK ED,SNK ED,428.0,2.12,30,-,-
Málek Josef,48,NK,BEZPP,1927.0,2.21,32,29,-
Malíř Josef Ing.,45,VPM,VPM,3994.0,4.27,1,1,*
Marečková Dana,50,NK,BEZPP,2267.0,2.6,16,13,-
Marková Kateřina Ing.,42,ODS,ODS,12974.0,2.67,25,6,-
Martinek Jiří,65,KSČM,KSČM,3719.0,2.54,35,30,-
Martínková Jiřina Prof. MUDr. DrSc.,66,ČSSD,ČSSD,4964.0,2.87,13,6,-
Matějíček Aleš Ing.,26,VPM,BEZPP,2141.0,2.29,29,26,-
Matys Zdeněk,27,SZ,BEZPP,1018.0,2.27,31,-,-
Mázl Josef Ing.,56,ČSSD,ČSSD,4630.0,2.67,22,15,-
Mázlová Helena,53,ČSSD,ČSSD,4595.0,2.65,24,17,-
Mihl Tomáš,31,ODS,ODS,12693.0,2.61,29,10,-
Michálek Jan MUDr.,48,ODS,ODS,14205.0,2.93,4,5,*
Michková Ludmila,59,KSČM,KSČM,3849.0,2.63,27,22,-
Mikátová Blanka RNDr.,48,SZ,BEZPP,1894.0,4.23,3,-,-
Mikolášíková Olga,58,NK,BEZPP,284.0,1.91,32,-,-
Morávek Jiří Mgr.,48,KSČM,BEZPP,4305.0,2.95,5,5,*
Morávek Tomáš Bc.,27,SNK ED,BEZPP,557.0,2.76,15,-,-
Morávková Jaroslava,55,NK,BEZPP,312.0,2.48,22,-,-
Motyčková Ivana MUDr.,42,NK,BEZPP,2025.0,2.32,34,31,-
Munzarová Renata,19,NK,BEZPP,304.0,2.05,34,-,-
Nejedlý Libor Ing.,55,KSČM,KSČM,4089.0,2.8,4,4,*
Němeček Jiří PhDr.,63,KDU-ČSL,KDU-ČSL,2072.0,4.03,1,-,-
Nosek Jiří PhDr.,61,ČSSD,ČSSD,4989.0,2.88,2,4,*
Novák Miloš,28,ČSSD,ČSSD,4324.0,2.5,33,26,-
Novák Pavel Mgr.,39,SZ,BEZPP,1821.0,4.06,4,-,-
Novák Zdeněk,67,ČSSD,ČSSD,4250.0,2.45,34,27,-
Novotný Jaroslav Ing.,68,KDU-ČSL,KDU-ČSL,1252.0,2.43,17,-,-
Novotný Libor,29,SZ,BEZPP,1171.0,2.61,17,-,-
Novotný Tomáš,18,NK,BEZPP,322.0,2.17,29,-,-
Novotný Vlastimil,50,US-DEU,US-DEU,960.0,6.48,1,-,-
Nožička Jan MUDr. Ph.D.,41,KDU-ČSL,BEZPP,1455.0,2.83,19,-,-
Nýdr Otakar,48,NK,BEZPP,349.0,2.35,16,-,-
Oberreiterová Dana Bc.,24,ODS,ODS,12973.0,2.67,24,5,-
Opitz Jiří,52,NK,BEZPP,2119.0,2.43,30,27,-
Orgoníková Hana Ing.,59,ČSSD,ČSSD,5201.0,3.0,6,1,*
Pail Josef,69,NEZ/DEM,BEZPP,265.0,2.11,33,-,-
Pailová Soňa,64,NEZ/DEM,BEZPP,287.0,2.29,12,-,-
Pastuszek Rudolf,61,KDU-ČSL,KDU-ČSL,1248.0,2.42,18,-,-
Paulů Zuzana,54,NK,BEZPP,2277.0,2.61,25,22,-
Pavlíček Jiří Ing.,51,SOS,BEZPP,2354.0,2.7,10,8,-
Pavliš Pavel Ing.,57,KDU-ČSL,BEZPP,1258.0,2.44,31,-,-
Pečenka Václav,53,VPM,VPM,2268.0,2.42,15,12,-
Petrová Anna,48,SZ,BEZPP,971.0,2.16,32,-,-
Petřikov Pavel,47,SNK ED,BEZPP,750.0,3.72,6,-,-
Pirner Jiří Ing.,53,SOS,BEZPP,2640.0,3.02,11,4,-
Pirner Jiří,56,ODS,ODS,10910.0,2.25,37,18,-
Podzimek Vladimír,58,KDU-ČSL,KDU-ČSL,1435.0,2.79,10,-,-
Polanská Jarmila Mgr.,41,KDU-ČSL,BEZPP,1475.0,2.87,5,-,-
Polášková Anna RNDr.,59,SZ,BEZPP,1641.0,3.66,5,-,-
Portyková Jana,43,NK,BEZPP,2305.0,2.64,28,25,-
Pospíšil Jan,44,NK,BEZPP,1962.0,2.25,31,28,-
Pospíšilová Dagmar,54,NK,BEZPP,349.0,2.35,12,-,-
Potoček Jiří Ing.,62,SZ,BEZPP,944.0,2.1,33,-,-
Potoček Josef Ing.,63,KDU-ČSL,KDU-ČSL,1660.0,3.23,3,-,-
Procházková Hana,66,SNK ED,BEZPP,719.0,3.56,9,-,-
Prokeš Viktor,27,NK,BEZPP,279.0,1.88,33,-,-
Racková Jana,60,KDU-ČSL,BEZPP,962.0,1.87,37,-,-
Ráliš Jaroslav,44,SNK ED,BEZPP,343.0,1.7,37,-,-
Rambousek Pavel Ing.,36,ODS,ODS,13349.0,2.75,12,12,*
Randa Zdeněk,65,KSČM,KSČM,3829.0,2.62,29,24,-
Rec Oldřich Ing.,36,KDU-ČSL,KDU-ČSL,1242.0,2.41,24,-,-
Redererová Emilia Mgr.,47,SZ,BEZPP,1081.0,2.41,30,-,-
Richterová Karin Bc.,27,SZ,BEZPP,1208.0,2.69,16,-,-
Romel Petr,35,NK,BEZPP,396.0,3.16,5,-,-
Romelová Pavlína,36,NK,BEZPP,310.0,2.47,24,-,-
Rondiak Jiří MUDr.,72,ČSSD,ČSSD,4855.0,2.8,9,2,-
Rubáček Jan Ing.,63,ODS,ODS,13076.0,2.69,19,19,*
Růža Vladislav,53,NK,BEZPP,2304.0,2.64,14,11,-
Růžičková Hana,49,ČSSD,ČSSD,4171.0,2.41,35,28,-
Rybka Pavel,50,SNK ED,BEZPP,442.0,2.19,23,-,-
Rychlá Barbora Mgr.,41,VPM,BEZPP,2685.0,2.87,7,7,-
Rytíř Pavel Ing.,57,SOS,SOS,2447.0,2.8,8,6,-
Řeháková Zora,26,NK,BEZPP,318.0,2.53,28,-,-
Řezník Roman Mgr.,40,ODS,ODS,13023.0,2.68,23,4,-
Říha Mikuláš,54,SNK ED,SNK ED,719.0,3.56,4,-,-
Salavcová Marie,58,NK,BEZPP,479.0,3.82,6,-,-
Samek Martin,27,VPM,BEZPP,2427.0,2.59,9,8,-
Samohrd Martin Ing.,56,VPM,BEZPP,3031.0,3.24,4,4,-
Sejtko Radek,29,SZ,BEZPP,1098.0,2.45,24,-,-
Selix Jan,56,NK,BEZPP,299.0,2.38,27,-,-
Schovánková Jana,37,ČSSD,ČSSD,4050.0,2.34,36,29,-
Skibíková Jitka,24,NK,BEZPP,288.0,2.29,29,-,-
Sklenář Jiří,35,ČSSD,ČSSD,4649.0,2.69,20,13,-
Skrbek Jan,58,VPM,BEZPP,2256.0,2.41,23,20,-
Slanina Petr,32,"""KČ""","""KČ""",142.0,14.53,2,-,-
Slezáková Pavla Bc.,24,NK,BEZPP,364.0,2.45,17,-,-
Smatek Radan,41,"""KČ""",BEZPP,112.0,11.46,5,-,-
Smetana David,34,KDU-ČSL,KDU-ČSL,1341.0,2.6,22,-,-
Sobotková Jana MUDr.,48,ODS,ODS,12869.0,2.65,28,9,-
Sommer Milan Ing.,49,US-DEU,US-DEU,472.0,3.18,5,-,-
Soukup Martin Ing.,40,ODS,ODS,13943.0,2.87,2,3,*
Sova Jiří PharmDr.,46,SOS,BEZPP,2614.0,2.99,7,5,-
Springer Vladimír Mgr.,61,NK,BEZPP,3074.0,3.52,5,3,*
Staněk Pavel Mgr.,33,ODS,ODS,13382.0,2.76,7,8,*
Staňková Soňa Ing.,46,SOS,BEZPP,2261.0,2.59,12,9,-
Staňková Sylva,64,ČSSD,ČSSD,4545.0,2.63,27,20,-
Stejskal Petr Ing.,39,KDU-ČSL,KDU-ČSL,1302.0,2.53,11,-,-
Steklý Josef,53,KSČM,KSČM,4047.0,2.77,6,1,-
Stránský Josef,57,KSČM,KSČM,3861.0,2.64,28,23,-
Strýhalová Květa,83,NEZ/DEM,BEZPP,276.0,2.2,30,-,-
Suchý Daniel,31,SZ,BEZPP,1136.0,2.53,22,-,-
Suchý Michal,29,SNK ED,BEZPP,393.0,1.95,32,-,-
Sündermannová Hana,56,SNK ED,BEZPP,539.0,2.67,14,-,-
Svatoň Tomáš,24,SNK ED,BEZPP,434.0,2.15,22,-,-
Svoboda Aleš Bc.,23,SZ,BEZPP,1273.0,2.84,12,-,-
Svobodová Hana,57,NK,BEZPP,302.0,2.41,14,-,-
Šádová Zdeňka,52,SZ,BEZPP,773.0,1.72,37,-,-
Šándorová Zdenka PaedDr.,44,ČSSD,ČSSD,4778.0,2.76,18,11,-
Šaršon Jindřich Ing.,53,SOS,BEZPP,2280.0,2.61,15,12,-
Šejvl Josef,34,ODS,ODS,13104.0,2.7,18,18,*
Šikulová Marcela,55,KSČM,KSČM,3971.0,2.72,10,5,-
Šilhan Václav MUDr.,37,NK,BEZPP,2271.0,2.6,22,19,-
Šilhánková Vladimíra Doc. Ing. arch. Ph.D.,35,VPM,VPM,3401.0,3.64,5,3,*
Šimáček Jiří Ing.,43,KDU-ČSL,BEZPP,1116.0,2.17,33,-,-
Šimek Jan,20,NK,BEZPP,351.0,2.8,11,-,-
Šimek Jiří,50,SNK ED,BEZPP,438.0,2.17,17,-,-
Šimek Roman Ing.,32,NEZ/DEM,NEZ/DEM,657.0,5.24,1,-,-
Šímová Jana,60,KSČM,KSČM,3879.0,2.65,23,18,-
Školoud Otakar Ing.,57,ČSSD,ČSSD,4746.0,2.74,15,8,-
Škopová Petra Ing. MBA,38,ODS,ODS,13024.0,2.68,26,7,-
Škorpil Ladislav,61,ODS,BEZPP,13905.0,2.86,13,13,*
Šlencová Šárka,22,KSČM,BEZPP,3960.0,2.71,14,9,-
Šmejda Miloslav,56,KSČM,KSČM,3945.0,2.7,11,6,-
Šmíd Stanislav,60,ČSSD,ČSSD,3848.0,2.22,37,30,-
Šonka Pavel,60,NK,BEZPP,2356.0,2.7,18,15,-
Šormová Táňa Mgr.,50,KSČM,BEZPP,4379.0,3.0,1,2,*
Špatenková Hana Mgr.,42,KDU-ČSL,BEZPP,1264.0,2.45,30,-,-
Špičan Jiří Ing.,53,KDU-ČSL,BEZPP,1404.0,2.73,14,-,-
Šrámek Ivo Ing.,43,SNK ED,BEZPP,516.0,2.56,20,-,-
Štěchovský Jaroslav Ing.,64,SOS,BEZPP,2130.0,2.44,23,20,-
Štěpán Jiří Mgr.,27,ČSSD,ČSSD,4579.0,2.64,30,23,-
Štěpán Lubomír Ing.,52,KSČM,KSČM,4409.0,3.02,2,1,*
Štěpánová Zuzana,21,KSČM,BEZPP,3952.0,2.7,13,8,-
Štěrbová Naďa Mgr.,51,ODS,ODS,13303.0,2.74,15,15,*
Štětina Jiří MUDr.,65,SNK ED,SNK ED,2113.0,10.48,1,-,-
Švarc Václav,48,NK,BEZPP,386.0,2.6,24,-,-
Táborská Eva,51,SNK ED,BEZPP,478.0,2.37,19,-,-
Tláskal Ivan,41,SZ,BEZPP,1438.0,3.21,9,-,-
Tomáš Ivo,44,NK,BEZPP,2203.0,2.52,19,16,-
Tomáš Milan Bc.,24,NK,BEZPP,305.0,2.05,27,-,-
Trávníčková Daniela,51,SZ,BEZPP,1097.0,2.45,21,-,-
Trummová Dana PharmDr.,44,VPM,BEZPP,2021.0,2.16,33,30,-
Tylš Radomír Ing.,57,ODS,ODS,13447.0,2.77,8,9,*
Tylšová Zuzana,41,ČSSD,ČSSD,4613.0,2.66,25,18,-
Udatný Michal,34,SNK ED,BEZPP,404.0,2.0,28,-,-
Urban Arnošt JUDr.,51,SOS,BEZPP,3183.0,3.65,2,2,*
Urbanová Hana,49,SNK ED,BEZPP,544.0,2.69,12,-,-
Václavík Vladimír PhDr. Ph.D.,63,SZ,BEZPP,1494.0,3.33,6,-,-
Vaněk Michal,27,NK,BEZPP,334.0,2.25,18,-,-
Vaňková Anna,59,KSČM,KSČM,3818.0,2.61,31,26,-
Vanžura Václav,59,KSČM,KSČM,3785.0,2.59,34,29,-
Vašata Václav Ing.,34,SNK ED,BEZPP,603.0,2.99,10,-,-
Vašata Václav Ing.,63,ČSSD,ČSSD,4941.0,2.85,12,5,-
Vejběra Jiří,49,SNK ED,BEZPP,516.0,2.56,7,-,-
Veselý Andrej,32,NK,BEZPP,326.0,2.2,21,-,-
Veverka Pavel,25,KDU-ČSL,BEZPP,1320.0,2.56,15,-,-
Vinopal Radek,33,NK,BEZPP,301.0,2.4,15,-,-
Víšek Miroslav Ing.,51,NK,BEZPP,2658.0,3.04,4,3,-
Vít Oldřich Ing.,30,KDU-ČSL,BEZPP,1284.0,2.49,21,-,-
Vítková Hana,37,NK,BEZPP,313.0,2.49,26,-,-
Vlasák Oldřich Ing.,50,ODS,ODS,13599.0,2.8,11,11,*
Vlasáková Marcela,43,SZ,BEZPP,839.0,1.87,36,-,-
Vlčková Magdaléna Bc.,30,ODS,ODS,11752.0,2.42,35,16,-
Vobořil René MUDr. Ph.D.,35,KDU-ČSL,BEZPP,1684.0,3.27,6,-,-
Vodochodský Ivan,43,VPM,BEZPP,2947.0,3.15,14,5,-
Vohlídka Radek,34,KDU-ČSL,KDU-ČSL,1425.0,2.77,4,-,-
Vohralíková Miroslava,53,KSČM,KSČM,3941.0,2.7,21,16,-
Vojtová Kateřina DiS.,24,NK,BEZPP,335.0,2.26,23,-,-
Vojtová Radka DiS.,26,US-DEU,US-DEU,350.0,2.36,10,-,-
Volák Jan,64,KDU-ČSL,KDU-ČSL,1001.0,1.94,36,-,-
Volejník Josef,71,SOS,BEZPP,1731.0,1.98,36,33,-
Volejník Miroslav Mgr.,36,NK,BEZPP,2276.0,2.61,26,23,-
Vondra Stanislav,59,KSČM,KSČM,3892.0,2.66,22,17,-
Voráčková Lea,50,US-DEU,US-DEU,524.0,3.53,4,-,-
Vosáhlo Aleš,53,SZ,BEZPP,1037.0,2.31,29,-,-
