Name,Age,Nominating party,Political party,Votes 2006,Percentual gain 2006,Ballot rank,Final rank,Mandate
Adamíra Milan,28,NK,BEZPP,298.0,2.37,25,-,-
Adamírová Miroslava,26,NK,BEZPP,268.0,2.13,36,-,-
Bajer Jaroslav Mgr.,30,SZ,SZ,1985.0,4.43,1,-,-
Balík Michal MUDr.,27,SNK ED,BEZPP,431.0,2.13,34,-,-
Baraňáková Markéta PaedDr.,44,ODS,ODS,12887.0,2.65,27,8,-
Bartošová Marie,56,VPM,BEZPP,2136.0,2.28,31,28,-
Bednář David,27,NK,BEZPP,260.0,2.07,37,-,-
Bejčková Marcela,39,ČSSD,ČSSD,4493.0,2.59,29,22,-
Benešová Martina,24,SZ,BEZPP,1115.0,2.49,23,-,-
Benešová Zuzana PaedDr.,46,KDU-ČSL,BEZPP,1217.0,2.36,28,-,-
Berák Miroslav,45,SNK ED,BEZPP,611.0,3.03,3,-,-
Beran Miroslav,31,SNK ED,BEZPP,395.0,1.96,31,-,-
Beran Petr,66,ČSSD,ČSSD,4400.0,2.54,31,24,-
Bergerová Věra,55,KSČM,KSČM,4007.0,2.74,9,4,-
Bernhard Jan,27,SZ,BEZPP,1125.0,2.51,18,-,-
Bláha Hynek,38,KDU-ČSL,BEZPP,1354.0,2.63,27,-,-
Bláhová Věra Mgr.,40,KDU-ČSL,BEZPP,1117.0,2.17,34,-,-
Bohdanecký Jiří Marko,39,"""KČ""","""KČ""",192.0,19.65,1,-,-
Brandejs Čestmír Mgr.,32,KDU-ČSL,BEZPP,1298.0,2.52,26,-,-
Broukal Štěpán,20,NK,BEZPP,319.0,2.15,22,-,-
Brož Filip,26,NK,BEZPP,274.0,1.85,35,-,-
Brožová Darina,28,NK,BEZPP,323.0,2.18,28,-,-
Brůna Jaroslav Ing.,42,SZ,BEZPP,1103.0,2.46,28,-,-
Bříza Miroslav,63,KSČM,KSČM,3781.0,2.59,33,28,-
Bubeníček Martin,23,NK,BEZPP,300.0,2.02,30,-,-
Bureš Vladimír Ing. Ph.D.,29,SNK ED,BEZPP,655.0,3.25,11,-,-
Burgr František,46,VPM,BEZPP,2333.0,2.49,20,17,-
Burkuš Adam,22,ODS,ODS,13021.0,2.68,21,2,-
Bury Josef,38,VPM,BEZPP,2194.0,2.34,26,23,-
Catalá Monika Mgr.,34,SZ,BEZPP,1283.0,2.86,10,-,-
Cvejn Zdeněk Bc.,25,ODS,ODS,13143.0,2.71,16,16,*
Čáp Jan Doc. MUDr. CSc.,53,KDU-ČSL,KDU-ČSL,1747.0,3.39,16,-,-
Čápová Eva MUDr.,53,KDU-ČSL,BEZPP,1776.0,3.45,7,-,-
Čech René Ing.,33,ČSSD,ČSSD,4373.0,2.53,32,25,-
Čep Daniel,38,VPM,BEZPP,2182.0,2.33,27,24,-
Čep Vladimír,63,ČSSD,ČSSD,4561.0,2.63,26,19,-
Čepová Petra,36,VPM,BEZPP,2259.0,2.41,22,19,-
Čermák Augustin Ing.,77,SNK ED,BEZPP,499.0,2.47,25,-,-
Čermáková Ladislava,43,SOS,BEZPP,1678.0,1.92,37,34,-
Černá Kateřina,30,ČSSD,ČSSD,4824.0,2.79,10,3,-
Černá Kateřina,35,VPM,BEZPP,1970.0,2.1,34,31,-
Černohorský Jindřich B.Th.,41,VPM,BEZPP,2159.0,2.31,30,27,-
