Name,Age,Nominating party,Political party,Votes 2018,Percentual gain 2018,Ballot rank,Final rank,Mandate
Albrechtová Jana Mgr.,27,Piráti,Piráti,3240.0,2.86,7,3,-
Audrlická Miroslava MUDr.,85,ODS,ODS,2793.0,2.45,31,26,-
Balcárek Radek,52,VČ,VČ,1376.0,3.6,3,-,-
Baraňáková Markéta PaedDr.,56,ODS,ODS,3110.0,2.73,14,9,-
Bártík Martin Mgr.,29,ČSSD,ČSSD,993.0,2.69,10,-,-
Bauer Jan,33,ODS,ODS,2851.0,2.5,29,24,-
Bavor Josef PhDr.,74,HDK,BEZPP,4547.0,2.62,20,13,-
Bednář Miroslav Ing.,65,HP,HP,1351.0,2.55,14,-,-
Bednářová Pravoslava Mgr.,31,NK,BEZPP,1267.0,2.39,29,-,-
Bejček Karel Mgr. Bc.,74,NK,BEZPP,1992.0,2.62,24,21,-
Bekera Matěj Mgr.,26,ODS,ODS,3026.0,2.66,20,15,-
Beneš Petr Mgr.,32,KDU-ČSL,KDU-ČSL,2068.0,2.75,15,12,-
Beran Luděk MUDr.,56,ODS,ODS,3243.0,2.85,12,7,-
Berger Vladimír,29,KSČM,BEZPP,1993.0,2.92,2,3,-
Bergerová Věra,67,KSČM,KSČM,1793.0,2.63,19,16,-
Betlachová Libuše,71,ANO,BEZPP,6879.0,2.6,29,18,-
Bílek Tomáš,39,Piráti,BEZPP,2865.0,2.53,29,24,-
Blaha Marek Bc.,45,STAN,BEZPP,880.0,2.3,26,-,-
Bláha Jiří Ing. Bc.,64,ODS,ODS,3453.0,3.03,2,5,*
Bláha Jiří Ing.,42,Soukromníci,BEZPP,141.0,3.03,11,-,-
Bláha Václav,27,KDU-ČSL,KDU-ČSL,1831.0,2.43,23,20,-
Bláhová Eva Mgr.,46,NK,BEZPP,1912.0,2.52,23,20,-
Bláhová Jitka Bc.,39,Soukromníci,BEZPP,133.0,2.86,13,-,-
Bláhová Zdeňka,54,SPD,SPD,1277.0,2.74,10,-,-
Blažek Petr,46,SPD,SPD,1222.0,2.62,26,-,-
Bohdanecký Jiří Marko,51,VČ,VČ,899.0,2.35,20,-,-
Bořek Jiří,57,Soukromníci,BEZPP,100.0,2.15,10,-,-
Brodský Štěpán Mgr.,45,HDK,BEZPP,3494.0,2.01,37,30,-
Brůha Jan,31,SPD,SPD,1239.0,2.66,23,-,-
Budil Karel,77,ANO,BEZPP,6754.0,2.56,32,21,-
Bulíček Pavel Bc.,30,Piráti,Piráti,3637.0,3.21,2,2,*
Burdychová Kristýna Mgr.,29,Piráti,BEZPP,2817.0,2.49,32,27,-
Bury Filip,24,TOP 09,BEZPP,816.0,1.79,36,-,-
Burýšková Lenka Mgr.,49,ANO,BEZPP,7342.0,2.78,23,12,-
Bůta Jiří,60,Piráti,BEZPP,2711.0,2.39,33,28,-
Cee Aleš Ing. CSc.,83,ANO,BEZPP,6870.0,2.6,30,19,-
Cejnar Jiří,62,KSČM,KSČM,1801.0,2.64,16,13,-
Cicvárek Jan Bc.,25,Svobodní,BEZPP,926.0,2.42,21,-,-
Cicvárková Olga Ing.,57,Svobodní,BEZPP,884.0,2.31,29,-,-
Cimr Jan,43,TOP 09,BEZPP,1073.0,2.36,23,-,-
Copko Vlastimil Ing.,67,ANO,ANO,6964.0,2.63,27,16,-
Cvejn Zdeněk Mgr. Ing.,37,ODS,ODS,2760.0,2.42,33,28,-
Čáp Bohuslav Ing.,67,KDU-ČSL,BEZPP,1893.0,2.52,20,17,-
Čáp Jan prof. MUDr. CSc.,65,KDU-ČSL,KDU-ČSL,2670.0,3.55,4,2,*
Čapek Jan Mgr.,39,ANO,BEZPP,5919.0,2.24,37,26,-
Čapek Jan,37,SPD,SPD,1240.0,2.66,16,-,-
Čapek Jaroslav Mgr.,69,ANO,ANO,6279.0,2.38,36,25,-
Čapková Markéta Ing.,39,HP,HP,1388.0,2.62,15,-,-
Čech Jan Mgr.,37,ANO,BEZPP,7275.0,2.75,20,9,-
Čermák Jiří Mgr.,35,Zelení,Zelení,1855.0,2.44,27,24,-
Černá Dominika MDDr.,26,HP,BEZPP,1270.0,2.4,31,-,-
Černý Martin Ing.,37,ODS,ODS,3059.0,2.69,18,13,-
Černý Milan,45,SPD,SPD,1254.0,2.69,14,-,-
Čížek Jan Ing. arch.,57,Piráti,BEZPP,3030.0,2.68,28,23,-
Daňo Vladimír,67,KSČM,KSČM,1798.0,2.64,22,19,-
Divecká Růžena Ing.,51,Nestran.,BEZPP,2335.0,3.11,3,3,-
Dlouhý Gustav,64,Soukromníci,BEZPP,169.0,3.63,3,-,-
Dohnal Aleš,29,Piráti,BEZPP,3406.0,3.01,4,5,*
Dolanová Marta Mgr.,43,NK,BEZPP,2020.0,2.66,26,23,-
Doležal Vladimír Bc.,55,NK,BEZPP,1527.0,2.88,20,-,-
Dostál Hynek Mgr. Ph.D.,45,Svobodní,BEZPP,1013.0,2.65,15,-,-
Dostál Petr DiS.,40,Piráti,BEZPP,2961.0,2.62,25,20,-
Drašnarová Lucie Mgr.,48,ANO,ANO,7176.0,2.72,25,14,-
Drbal Petr Ing.,75,HP,BEZPP,1338.0,2.52,24,-,-
Duchač Adam Ing.,32,NK,BEZPP,1088.0,2.05,36,-,-
Duchoň Josef,85,HDK,HDK,4337.0,2.5,28,21,-
Dusová Romana Ing.,50,HDK,BEZPP,4827.0,2.78,6,7,*
