Name,Age,Nominating party,Political party,Votes 2018,Percentual gain 2018,Ballot rank,Final rank,Mandate
Dvořák Josef,58,Soukromníci,BEZPP,104.0,2.23,20,-,-
Erbsová Martina,36,NK,BEZPP,2095.0,2.76,18,15,-
Fajfr Jan Mgr. et Mgr. Bc.,40,ANO,ANO,7249.0,2.74,14,3,-
Falta Jan Ing. arch.,52,KDU-ČSL,KDU-ČSL,1672.0,2.22,37,34,-
Falta Petr,32,KSČM,KSČM,1851.0,2.72,9,6,-
Faltýnek Jan Mgr.,59,HDK,BEZPP,4968.0,2.86,17,10,-
Fejgl Jiří,44,Svobodní,BEZPP,1080.0,2.83,13,-,-
Ferčák Dušan Ing.,56,ČSSD,ČSSD,1012.0,2.74,11,-,-
Fialová Lenka DiS.,51,KSČM,KSČM,2075.0,3.04,4,1,-
Ficnarová Blanka Ing.,42,NK,BEZPP,1364.0,2.57,17,-,-
Fiedler Lukáš Mgr.,31,ANO,BEZPP,7151.0,2.71,22,11,-
Filip Jaroslav,32,ODS,ODS,3260.0,2.86,5,3,-
Filipová Alena,72,SPD,SPD,1265.0,2.71,9,-,-
Fink Zdeněk MUDr.,63,HDK,HDK,7353.0,4.23,1,1,*
Foglová Milena,65,NK,BEZPP,1107.0,2.09,35,-,-
Francová Marie,52,SPD,BEZPP,1193.0,2.56,32,-,-
Friedlová Libuše Mgr.,56,ANO,ANO,7304.0,2.76,11,11,*
Fröhlichová Jana Mgr.,33,ČSSD,ČSSD,1478.0,4.0,1,-,-
Frola František Ing.,63,KDU-ČSL,KDU-ČSL,1678.0,2.23,33,30,-
Gelbič Jiří,70,ANO,ANO,7219.0,2.73,10,10,*
"Groh Jan Ing. LL.M., MBA",39,ANO,ANO,7343.0,2.78,6,6,*
Guzek Kamil,48,NK,BEZPP,1538.0,2.9,18,-,-
Hájek Václav Ing. arch.,35,NK,BEZPP,1924.0,2.53,25,22,-
Hamáček Jaroslav,49,Změna,Změna,1992.0,2.62,17,14,-
Hampl Libor,61,ANO,ANO,7225.0,2.73,13,2,-
Hanousek Martin Mgr.,35,Zelení,Zelení,2863.0,3.77,2,2,*
Hantschová Ivana MVDr. Dott.ssa,50,ANO,BEZPP,7326.0,2.77,17,6,-
Havel Matěj Ondřej Mgr. Ph.D.,31,TOP 09,TOP 09,1785.0,3.93,14,-,-
Havelka Rudolf Mgr. et Mgr. Ph.D.,36,KDU-ČSL,KDU-ČSL,2158.0,2.87,8,5,-
Havlík Miloš,63,KSČM,KSČM,1714.0,2.51,33,30,-
Havránek Jaroslav,67,SPD,SPD,1203.0,2.58,28,-,-
Havrda Alois Ing.,71,KSČM,BEZPP,2109.0,3.09,6,3,*
Havrda Lubomír PaedDr. Mgr.,67,NK,BEZPP,1418.0,2.68,21,-,-
Havrda Miroslav MUDr.,54,Svobodní,Svobodní,1586.0,4.16,2,-,-
Havrda Tomáš,36,NK,BEZPP,1347.0,2.54,28,-,-
Heger Leoš MUDr.,70,TOP 09,TOP 09,3057.0,6.73,13,-,-
Hejhálek Jiří RNDr.,61,Svobodní,Svobodní,1066.0,2.79,7,-,-
Hejhálková Helena Mgr.,57,Svobodní,Svobodní,914.0,2.39,27,-,-
Hemrlík Jiří,64,SPD,SPD,1216.0,2.61,22,-,-
Hendrych Petr Ing.,35,Soukromníci,BEZPP,124.0,2.66,23,-,-
Hep Pavel,41,ČSSD,ČSSD,1053.0,2.85,19,-,-
Heřman Vladislav,82,KSČM,KSČM,1618.0,2.37,37,34,-
Hladík Tomáš,29,Soukromníci,BEZPP,123.0,2.64,24,-,-
Hlavatý Lubomír,66,KSČM,KSČM,1801.0,2.64,20,17,-
Hloucalová Nikola,27,KSČM,BEZPP,1869.0,2.74,7,4,-
Hloušková Lidmila Mgr.,61,Soukromníci,BEZPP,105.0,2.25,30,-,-
Hojgr Jiří Ing.,65,Soukromníci,Soukromníci,201.0,4.32,2,-,-
Hojgrová Jitka,65,Soukromníci,BEZPP,99.0,2.12,28,-,-
Holásek Jan JUDr. LL.M.,45,HDK,BEZPP,5054.0,2.91,4,5,*
Horčičková Zdeňka Mgr.,68,TOP 09,TOP 09,1174.0,2.58,19,-,-
Horejšová Veronika,52,KDU-ČSL,KDU-ČSL,1527.0,2.03,36,33,-
Horný Otto,60,SPD,BEZPP,1203.0,2.58,31,-,-
Hovorka Jaroslav,75,TOP 09,TOP 09,900.0,1.98,33,-,-
Hoznedr Jan,44,TOP 09,TOP 09,1076.0,2.36,24,-,-
Hrabálek Alexandr prof. PharmDr. CSc.,62,ODS,BEZPP,3547.0,3.12,8,3,*
Hroch Miloš doc. Ing. Ph.D.,42,NK,BEZPP,1880.0,2.48,30,27,-
Hronešová Lenka Bc.,53,NK,BEZPP,1998.0,2.63,20,17,-
Hušek Filip,41,NK,BEZPP,1934.0,2.55,14,11,-
Hvězda Jan,65,Soukromníci,BEZPP,109.0,2.34,22,-,-
Hynais Jiří Mgr.,45,HDK,BEZPP,4560.0,2.62,21,14,-
Chládek Tomáš MDDr.,28,TOP 09,TOP 09,996.0,2.19,31,-,-
Chobotský Tomáš,19,HDK,BEZPP,4551.0,2.62,25,18,-
Chrobáková Lenka,58,SPD,SPD,1302.0,2.79,6,-,-
Jablonský Antonín,45,TOP 09,TOP 09,1095.0,2.41,15,-,-
Jaklová Lenka Mgr.,59,STAN,BEZPP,1542.0,4.04,1,-,-
Janata Jakub,21,Svobodní,Svobodní,918.0,2.4,19,-,-
Janko Martin,20,Piráti,BEZPP,3051.0,2.7,17,12,-
Jankovský Pavel PaedDr.,64,ODS,ODS,3165.0,2.78,15,10,-
Janků Pavla,68,SPD,SPD,1300.0,2.79,5,-,-
Janošič Petr,48,HP,HP,1230.0,2.32,32,-,-
Janoušek Roman,45,SPD,SPD,1268.0,2.72,11,-,-
Jánská Marcela,70,SPD,SPD,1236.0,2.65,19,-,-
Jánský Jaroslav,85,SPD,BEZPP,1154.0,2.48,34,-,-
Jareš Karel,54,Soukromníci,BEZPP,94.0,2.02,29,-,-
Jarkovský Tomáš MgA.,32,NK,BEZPP,2196.0,2.89,10,7,-
Jaroš Emil MUDr. Ph.D.,74,ODS,ODS,3066.0,2.69,21,16,-
Jaroš Milan,51,ČSSD,ČSSD,1295.0,3.51,3,-,-
Jarošová Hana,72,KSČM,KSČM,1735.0,2.55,29,26,-
Jarošová Jitka,47,KSČM,KSČM,1826.0,2.68,15,12,-
Jelínková Kateřina Mgr.,47,TOP 09,TOP 09,1424.0,3.13,3,-,-
Jezbera Daniel RNDr.,55,KDU-ČSL,KDU-ČSL,2008.0,2.67,13,10,-
Jirásek Záviš,72,KSČM,KSČM,1781.0,2.61,26,23,-
Jireš Rostislav Ing.,55,ČSSD,ČSSD,1078.0,2.92,5,-,-
Jiroutová Olga,41,ČSSD,ČSSD,912.0,2.47,26,-,-
Judlová Helena MUDr.,64,STAN,BEZPP,868.0,2.27,31,-,-
Kaplan Miloslav,40,Soukromníci,BEZPP,99.0,2.12,32,-,-
Karvai Tibor,70,ČSSD,ČSSD,797.0,2.16,35,-,-
Kaška Filip,47,ODS,ODS,3084.0,2.71,23,18,-
Kašpárek Jan Ing. arch.,33,HDK,HDK,4284.0,2.47,32,25,-
Kebortová Karmen Ing.,48,NK,BEZPP,1411.0,2.66,11,-,-
Klik Stanislav Ing. Ph.D.,43,KDU-ČSL,BEZPP,1980.0,2.63,12,9,-
Knopp Jiří Ing.,84,KSČM,KSČM,1668.0,2.45,36,33,-
Kocián Lukáš,41,Piráti,BEZPP,2442.0,2.16,36,31,-
Kocourek Jiří Ing.,58,HDK,HDK,4665.0,2.68,13,7,-
Kocourková Kamila,19,Zelení,Zelení,1912.0,2.52,15,12,-
Kočí David Bc.,43,TOP 09,TOP 09,879.0,1.93,34,-,-
Kohoutová Ivana Mgr.,57,STAN,BEZPP,863.0,2.26,30,-,-
Kolář Michal,39,SPD,SPD,1247.0,2.68,17,-,-
Kolman Josef,64,TOP 09,TOP 09,1037.0,2.28,26,-,-
Kománek Jakub Mgr.,29,HP,HP,1447.0,2.73,7,-,-
Komárková Irena Ing.,52,NK,BEZPP,1492.0,2.82,9,-,-
Kopecký Tomáš Bc.,24,Piráti,BEZPP,2910.0,2.57,30,25,-
Kopecký Tomáš Mgr.,44,NK,BEZPP,1912.0,2.52,19,16,-
Kopunecz Peter Mgr.,63,ČSSD,ČSSD,901.0,2.44,27,-,-
Kos Jiří,50,ANO,ANO,7389.0,2.8,5,5,*
Kos Jiří,70,ANO,BEZPP,6467.0,2.45,35,24,-
Košťák Jiří,70,KSČM,KSČM,1840.0,2.7,14,11,-
Košťál Matěj Mgr.,25,TOP 09,TOP 09,1229.0,2.7,8,-,-
Kotlář Jiří Mgr.,63,NK,BEZPP,1417.0,2.67,26,-,-
Kott Jaroslav dipl. tech.,80,ANO,BEZPP,6915.0,2.62,28,17,-
Koudelka Lukáš,32,Svobodní,BEZPP,1037.0,2.72,25,-,-
Kousal Zdeněk Ing.,63,ODS,ODS,2605.0,2.29,34,29,-
Koutník Václav Ing.,74,ODS,ODS,3051.0,2.68,13,8,-
Koutský Marek Ing.,36,HP,HP,1376.0,2.6,8,-,-
Koza Michal,32,ODS,ODS,3121.0,2.74,16,11,-
Kozlovský Ondřej,35,Svobodní,Svobodní,1000.0,2.62,9,-,-
Kračmar Jaroslav,66,KSČM,KSČM,1721.0,2.52,32,29,-
Kračmar Libor,58,KSČM,KSČM,1849.0,2.71,11,8,-
Král Jan,40,ČSSD,ČSSD,952.0,2.58,14,-,-
Králíček Ivo PhDr. Ph.D.,45,NK,BEZPP,2660.0,3.51,8,3,*
Králová Hana,55,Soukromníci,BEZPP,85.0,1.82,37,-,-
Kramářová Olga Ing. Bc.,50,NK,BEZPP,2069.0,2.73,7,5,-
Kratochvíl Viktor Mgr.,30,NK,BEZPP,1445.0,2.73,12,-,-
Krčmová Irena MUDr. CSc.,61,HDK,BEZPP,4979.0,2.87,15,8,-
Krejza Roman Ing.,60,STAN,BEZPP,758.0,1.98,37,-,-
Kričfaluši Jiří,49,ODS,ODS,2914.0,2.56,27,22,-
Křelina František Ing. arch.,67,Změna,Změna,2505.0,3.3,4,2,-
Křížek Pavel Ing. Mgr.,57,Zelení,Zelení,1832.0,2.41,28,25,-
Křížová Eva,79,KSČM,KSČM,1699.0,2.49,34,31,-
Křováček Jaromír Mgr.,58,HDK,BEZPP,4664.0,2.68,18,11,-
Kubica Kamil,20,Piráti,Piráti,3269.0,2.89,5,1,-
Kučera Matěj,34,Soukromníci,BEZPP,112.0,2.4,14,-,-
Kujalová Hana Mgr.,39,NK,BEZPP,1669.0,2.2,34,31,-
Kuneš Jaromír Mgr.,56,NK,BEZPP,1324.0,2.5,22,-,-
Kutálek Jiří,45,STAN,BEZPP,811.0,2.12,35,-,-
Kuzica Daniel,52,Soukromníci,BEZPP,91.0,1.95,36,-,-
Kyral Roman,50,Soukromníci,BEZPP,163.0,3.5,19,-,-
Lacinová Vlasta RNDr.,65,NK,BEZPP,1396.0,2.63,13,-,-
Lakatoš Alexander,32,ANO,BEZPP,7017.0,2.65,26,15,-
Landa Jiří,69,Soukromníci,BEZPP,122.0,2.62,17,-,-
Langer Jiří,62,ANO,BEZPP,7372.0,2.79,7,7,*
Lankašová Taťana PhDr.,65,KSČM,KSČM,1946.0,2.86,10,7,-
Lejsek Jakub,34,HDK,HDK,4825.0,2.78,10,4,-
Lélyová Blažena Blanka,49,SPD,SPD,1266.0,2.72,18,-,-
Lesák Tomáš,57,ČSSD,ČSSD,857.0,2.32,34,-,-
Lesák Vladimír,54,ČSSD,ČSSD,1192.0,3.23,2,-,-
Leugner Martin,37,TOP 09,TOP 09,1072.0,2.36,18,-,-
Lhotská Kateřina,35,Soukromníci,BEZPP,153.0,3.29,15,-,-
Libřický Tomáš Mgr. MBA,27,ODS,ODS,2888.0,2.54,30,25,-
Lipovský Jiří RNDr. Ph.D.,34,ČSSD,ČSSD,1143.0,3.1,6,-,-
Lisý Pavel Ing.,52,KDU-ČSL,BEZPP,1915.0,2.55,22,19,-
Lišková Romana PhDr.,60,HDK,HDK,4958.0,2.85,5,6,*
Lojan Petr PhDr. MBA,44,TOP 09,TOP 09,1419.0,3.12,4,-,-
Lojanová Kateřina PhDr.,36,NK,BEZPP,1337.0,2.52,25,-,-
Lorencová Petra,41,NK,BEZPP,2249.0,2.96,13,10,-
Ludvík Václav Ing.,71,ODS,BEZPP,2988.0,2.62,28,23,-
Luska Petr Bc.,53,ČSSD,ČSSD,993.0,2.69,9,-,-
Luštincová Lucie Mgr.,27,Nestran.,BEZPP,1906.0,2.53,18,15,-
Macke Petr,46,HDK,HDK,4422.0,2.54,26,19,-
Maclová Anna Ing.,58,KDU-ČSL,BEZPP,3721.0,4.95,1,1,*
Macháčková Lucie,38,Piráti,BEZPP,2968.0,2.62,24,19,-
Machačová Hana Bc. MSc.,54,ANO,ANO,7270.0,2.75,15,4,-
Machaň Radek,40,Soukromníci,BEZPP,166.0,3.57,9,-,-
Maixner Jiří Ing.,80,ČSSD,ČSSD,842.0,2.28,33,-,-
Malá Kamila Ing.,42,TOP 09,TOP 09,1044.0,2.29,27,-,-
Málek Bořek Ing.,53,ODS,ODS,2799.0,2.46,32,27,-
Malý Jaroslav prof. MUDr. CSc.,71,ČSSD,BEZPP,1280.0,3.47,13,-,-
Malý Ondřej MUDr.,33,KDU-ČSL,BEZPP,2379.0,3.16,5,2,-
Marečková Dana,62,HDK,HDK,4542.0,2.61,16,9,-
Marečková Jitka Mgr.,50,NK,BEZPP,1611.0,2.12,36,33,-
Marek Pavel,48,ANO,ANO,7520.0,2.85,3,3,*
Mašek Jiří MUDr.,60,ANO,ANO,7773.0,2.94,9,9,*
Matějka Lukáš Mgr.,38,Zelení,Zelení,2001.0,2.64,16,13,-
Matějka Václav,51,Soukromníci,BEZPP,242.0,5.2,7,-,-
Matyášová Eva MUDr.,59,ANO,ANO,7517.0,2.84,8,8,*
Matys Petr,55,Soukromníci,BEZPP,115.0,2.47,31,-,-
Melgr Jan,43,SPD,BEZPP,1115.0,2.39,36,-,-
Melichar Josef Ing.,50,KDU-ČSL,KDU-ČSL,2127.0,2.83,7,4,-
Melicharová Karolina MUDr.,44,KDU-ČSL,BEZPP,2162.0,2.88,9,6,-
Michková Ludmila,71,KSČM,KSČM,1759.0,2.58,25,22,-
Mikát Miroslav,59,NK,BEZPP,1666.0,2.19,35,32,-
Mikátová Šárka Mgr.,27,NK,BEZPP,1963.0,2.59,22,19,-
Mikešová Veronika Ing. MBA,39,LES,BEZPP,1250.0,2.75,10,-,-
Miklošová Gabriela DiS.,35,Piráti,BEZPP,2534.0,2.24,35,30,-
Mikuláš Pavel,38,Piráti,BEZPP,2921.0,2.58,27,22,-
Mikyska Tomáš Mgr.,44,Piráti,BEZPP,3269.0,2.89,12,7,-
Mládek Zdeněk Mgr.,47,NK,BEZPP,1611.0,3.04,4,-,-
Mládková Iva Mgr.,46,NK,BEZPP,1393.0,2.63,19,-,-
Moravec Michal Bc.,45,ODS,ODS,3761.0,3.3,1,2,*
Moudrá Hana Mgr.,52,Soukromníci,Soukromníci,256.0,5.5,1,-,-
Műller Robert Ing.,49,KDU-ČSL,BEZPP,1697.0,2.26,31,28,-
Mužík Marek,24,HDK,BEZPP,4494.0,2.59,23,16,-
Náhlovský Petr Ing. Mgr.,34,TOP 09,Monarchiste.cz,1236.0,2.72,30,-,-
Nedvídek Miroslav,53,SPD,BEZPP,1182.0,2.54,33,-,-
Nejedlý Libor Ing.,67,KSČM,KSČM,1889.0,2.77,8,5,-
Nejedlý Miloslav Ing.,72,ANO,BEZPP,7140.0,2.7,19,8,-
Němcová Irena Ing.,35,SPD,SPD,1298.0,2.79,13,-,-
Němec Ivo Ing.,35,ČSSD,ČSSD,892.0,2.41,31,-,-
Němeček Jiří PhDr.,75,KDU-ČSL,KDU-ČSL,2108.0,2.8,19,16,-
Niangová Ivana MUDr. Ph.D.,55,STAN,BEZPP,1483.0,3.89,4,-,-
Nohejl Karel Ing.,58,ANO,BEZPP,7143.0,2.7,21,10,-
Nosková Alena Mgr.,36,Nestran.,BEZPP,1899.0,2.53,25,22,-
Novotná Božena,66,KSČM,BEZPP,1728.0,2.53,31,28,-
Novotná Michaela,31,Soukromníci,BEZPP,91.0,1.95,26,-,-
Novotná Veronika,34,SPD,BEZPP,1103.0,2.37,37,-,-
Novotný Ondřej,32,ODS,ODS,2934.0,2.58,24,19,-
"Novotný Vít Mgr. M.A., M.P.A., Ph.D.",51,TOP 09,TOP 09,742.0,1.63,37,-,-
Novotný Vladimír Bc. DiS.,49,SPD,SPD,1400.0,3.0,8,-,-
Nozar Lukáš Bc.,38,ČSSD,ČSSD,939.0,2.54,23,-,-
Nožička Jan MUDr. Ph.D.,53,KDU-ČSL,BEZPP,1920.0,2.55,26,23,-
Nýč Felix,37,ČSSD,ČSSD,943.0,2.55,25,-,-
Nymsa Jan,32,HP,HP,1015.0,1.91,37,-,-
Obšilová Jindřiška,63,SPD,BEZPP,1142.0,2.45,35,-,-
Oliva Karel Ing.,74,SPD,BEZPP,1228.0,2.64,27,-,-
Ondráček Vlastimil,61,HDK,BEZPP,4941.0,2.84,8,2,-
Outlý Jindřich Ing.,56,ANO,BEZPP,7264.0,2.75,16,5,-
Pajgerová Andrea,52,SPD,SPD,1391.0,2.99,3,-,-
Pakandlová Markéta JUDr.,57,SPD,BEZPP,1468.0,3.15,4,-,-
Paleček Martin Ph.D.,44,LES,BEZPP,1187.0,2.61,20,-,-
Paprskárová Jana,56,Piráti,Piráti,2978.0,2.63,20,15,-
Pastuszek Rudolf,73,KDU-ČSL,KDU-ČSL,1651.0,2.19,32,29,-
Pátek Roman Ing.,53,Svobodní,Svobodní,1112.0,2.91,5,-,-
Patera Tomáš,46,TOP 09,TOP 09,1076.0,2.36,21,-,-
Patka Jaromír,28,Piráti,BEZPP,3089.0,2.73,19,14,-
Paulů Zuzana Mgr.,66,HDK,BEZPP,4528.0,2.61,27,20,-
Pavlata Jaroslav MUDr. Ph.D.,56,KDU-ČSL,BEZPP,2145.0,2.85,16,13,-
Pavlík František,74,SPD,SPD,1228.0,2.64,20,-,-
Pechancová Jana Mgr.,46,KDU-ČSL,BEZPP,1861.0,2.47,21,18,-
Pekárek Josef,61,NK,BEZPP,1386.0,2.61,16,-,-
Pekárek Milan,59,ANO,BEZPP,6861.0,2.6,31,20,-
Perthen Ervín JUDr. MBA,45,TOP 09,BEZPP,1971.0,4.34,1,-,-
Pětivoký Tomáš Ing.,46,ODS,ODS,3075.0,2.7,22,17,-
Petr Otakar,35,Piráti,Piráti,2998.0,2.65,22,17,-
Petráčková Martina,43,NK,BEZPP,954.0,2.1,32,-,-
Pírková Hana,61,Soukromníci,BEZPP,140.0,3.01,5,-,-
Pirner Jiří Ing.,65,HDK,BEZPP,5006.0,2.88,12,6,-
Píšová Renata,52,SPD,SPD,1228.0,2.64,24,-,-
Pitrová Renata Mgr.,56,TOP 09,TOP 09,1187.0,2.61,9,-,-
Plát Roman Ing. arch.,36,Piráti,BEZPP,3290.0,2.91,10,5,-
Plch Dušan,45,Piráti,Piráti,3302.0,2.92,9,4,-
Plchová Kateřina,46,Piráti,Piráti,3050.0,2.69,18,13,-
Podal Zdeněk,65,SPD,SPD,1411.0,3.03,2,-,-
Podhajská Pavla Mgr.,34,Piráti,BEZPP,2676.0,2.36,34,29,-
Podhajský Josef,60,Nestran.,BEZPP,1836.0,2.44,24,21,-
Podzimek Vladimír,70,KDU-ČSL,KDU-ČSL,1787.0,2.38,27,24,-
Pohl Luboš Mgr.,28,ČSSD,ČSSD,974.0,2.64,16,-,-
Pokorný Jaroslav,37,HDK,HDK,3688.0,2.12,36,29,-
Polívka Marian,40,Soukromníci,BEZPP,139.0,2.98,6,-,-
Potůček Roman,42,SPD,BEZPP,1224.0,2.63,30,-,-
Pour Milan prof. RNDr. Ph.D.,52,NK,BEZPP,1630.0,3.08,23,-,-
Pourová Věra JUDr.,60,ANO,ANO,7611.0,2.88,2,2,*
Pozler Tomáš Mgr.,45,Změna,Změna,1737.0,2.29,32,29,-
Procházka Miroslav Ing.,58,ODS,ODS,3204.0,2.81,9,5,-
Prokeš Stanislav,49,Soukromníci,BEZPP,164.0,3.52,4,-,-
Prokop Radek,51,SPD,BEZPP,1197.0,2.57,29,-,-
Průcha Robert Bc.,33,Piráti,BEZPP,3024.0,2.67,16,11,-
Příhoda René Mgr.,32,ČSSD,ČSSD,963.0,2.61,22,-,-
Ptáčková Lucie,24,ČSSD,ČSSD,903.0,2.44,30,-,-
Půža Miroslav Mgr. Ph.D.,39,ODS,BEZPP,3311.0,2.91,19,14,-
Rademacher Vojtěch,19,Piráti,BEZPP,2947.0,2.6,26,21,-
Rademacherová Iva MUDr.,56,STAN,BEZPP,920.0,2.41,34,-,-
Rath Zdenek,59,Piráti,BEZPP,3003.0,2.65,14,9,-
Rechtoriková Lucie,31,ČSSD,ČSSD,891.0,2.41,32,-,-
Rejsek Ondřej Ing.,62,Piráti,BEZPP,2862.0,2.53,31,26,-
Režňák Libor Ing.,31,Soukromníci,BEZPP,105.0,2.25,27,-,-
Richterová Karin Bc.,39,Zelení,Zelení,2108.0,2.78,6,4,-
Rohlena Josef,53,ČSSD,ČSSD,749.0,2.03,37,-,-
Romel Petr,47,NK,BEZPP,1247.0,2.35,30,-,-
Růža Vladislav,65,HDK,HDK,4462.0,2.57,24,17,-
Rychlý Tomáš MUDr.,53,NK,BEZPP,1774.0,2.34,33,30,-
Řada Michal Mgr.,41,STAN,BEZPP,992.0,2.6,14,-,-
Řeháková Michaela MUDr.,51,Nestran.,BEZPP,1766.0,2.35,29,26,-
Řehoř Václav Mgr.,38,ODS,ODS,2320.0,2.04,37,32,-
Řehořková Pavla MUDr. Ph.D.,55,Svobodní,BEZPP,970.0,2.54,36,-,-
Řehounek František,50,HP,HP,1715.0,3.24,2,-,-
Říha Michal,35,ČSSD,ČSSD,1024.0,2.77,7,-,-
Sadílková Helena,60,STAN,BEZPP,786.0,2.06,33,-,-
Salák Alexander,59,Piráti,BEZPP,3011.0,2.66,23,18,-
Samek Ondřej,43,NK,BEZPP,2097.0,2.76,12,9,-
Sedunka Jan Ing.,34,HP,HP,1714.0,3.23,5,-,-
Sitař Robert,49,Soukromníci,BEZPP,121.0,2.6,18,-,-
Skoupilová Veronika,22,Piráti,BEZPP,3057.0,2.7,15,10,-
