Name,Age,Nominating party,Political party,Votes 2010,Percentual gain 2010,Ballot rank,Final rank,Mandate
Dostálová Petra,40,VV,BEZPP,1134.0,2.73,34,-,-
Dršatová Dita Mgr.,40,NK,BEZPP,3992.0,2.66,9,5,-
Duchač Adam Bc.,24,TOP 09,TOP 09,3437.0,2.64,18,14,-
Duchoň Radoslav,53,NK,BEZPP,3143.0,2.09,34,29,-
Dürrer Jan Ing.,56,NK,BEZPP,4068.0,2.71,11,7,-
Dus Rudolf Bc.,55,ČSSD,ČSSD,6689.0,2.88,6,6,*
Dvořák František,32,Svobodní,BEZPP,386.0,3.39,26,-,-
Dvořák Martin Ing.,53,VPM,VPM,5189.0,4.79,1,1,*
Dvořáková Kristýna Mgr.,25,NK,BEZPP,2128.0,2.31,30,27,-
Dvořáková Lucie,21,VV,BEZPP,954.0,2.29,35,-,-
Elišák Vítězslav,62,Suveren.,BEZPP,637.0,2.41,27,-,-
Endreslová Jaroslava,64,EDS,BEZPP,116.0,4.25,17,-,-
Erbsová Martina Bc.,28,SNK ED,BEZPP,2091.0,2.77,11,9,-
Event Martin Bc.,30,ODS,ODS,4202.0,2.21,35,29,-
Fajfr Jan,32,ODS,ODS,4446.0,2.34,33,27,-
Falta Jan Ing. arch.,44,KDU-ČSL,KDU-ČSL,2822.0,3.74,4,2,-
Faltýnek Jan Mgr.,51,NK,BEZPP,4162.0,2.77,24,19,-
Farrag Mohamed MUDr.,35,ODS,ODS,4531.0,2.39,34,28,-
Felgr Petr,38,Suveren.,BEZPP,590.0,2.23,35,-,-
Ferčák Dušan Ing.,48,ČSSD,ČSSD,5964.0,2.57,32,24,-
Fiala Milan Ing.,25,TOP 09,BEZPP,2378.0,1.83,37,33,-
Fiedler Jiří Ing.,54,VPM,BEZPP,2580.0,2.38,27,23,-
Filip Jaroslav,24,ČSSD,ČSSD,6381.0,2.75,12,4,-
Filipová Alena,64,Suveren.,BEZPP,805.0,3.04,3,-,-
Finfrlová Pavla Ing.,60,ODS,ODS,6177.0,3.26,1,3,*
Fink Zdeněk MUDr.,55,NK,BEZPP,7275.0,4.85,1,1,*
Fišer Miroslav,30,ODS,ODS,4534.0,2.39,32,26,-
Fričová Hana,44,VV,BEZPP,1087.0,2.62,21,-,-
Frola František Ing.,55,VV,BEZPP,1446.0,3.48,7,-,-
Gregar Alexandr Mgr.,66,NK,BEZPP,3108.0,2.07,35,30,-
Hak Miroslav Ing.,34,ODS,ODS,5305.0,2.8,25,19,-
Hanousek Martin Mgr.,27,SZ,SZ,3288.0,3.58,3,1,-
Hartig Zdeněk,52,VPM,BEZPP,2954.0,2.72,17,13,-
Havelková Veronika Ing.,25,VPM,BEZPP,2698.0,2.49,14,11,-
Havlíček Michal PhDr.,55,VPM,BEZPP,2832.0,2.61,13,10,-
Havrda Alois Ing.,63,KSČM,BEZPP,4251.0,3.04,3,3,*
Havrda Miroslav MUDr.,46,VPM,BEZPP,3529.0,3.25,7,2,-
Havrda Zbyněk,71,VPM,BEZPP,3035.0,2.8,21,17,-
Henychová Kateřina Mgr.,31,VV,BEZPP,1061.0,2.55,24,-,-
Hesoun Pavel Ing.,42,KDU-ČSL,BEZPP,1632.0,2.16,31,29,-
Hladík Jan,24,VPM,BEZPP,2740.0,2.52,18,14,-
Hladík Petr Bc.,53,Svobodní,BEZPP,379.0,3.33,11,-,-
Hlavatý Lubomír,58,KSČM,KSČM,3712.0,2.66,19,14,-
Holinka Petr,34,SZ,SZ,2364.0,2.57,17,15,-
Honysch Jan,31,Svobodní,BEZPP,406.0,3.57,7,-,-
Horský Ondřej Mgr.,26,Svobodní,BEZPP,318.0,2.79,22,-,-
Hovorka Jaroslav,67,TOP 09,TOP 09,3166.0,2.43,27,23,-
Hovorková Ludmila,62,NK,BEZPP,3960.0,2.64,17,12,-
Hoznedr Jan,36,TOP 09,BEZPP,3024.0,2.32,31,27,-
Hrabálek Alexandr prof. PharmDr. CSc.,54,VPM,BEZPP,3553.0,3.28,9,1,-
Hradecký Jiří,32,ODS,ODS,4833.0,2.55,27,21,-
Hrazděra Aleš,26,VV,BEZPP,980.0,2.36,29,-,-
Hrbatý Julius,68,KSČM,KSČM,3630.0,2.6,29,24,-
Hroch Miloš Ing.,34,NK,BEZPP,2315.0,2.52,23,20,-
Hronešová Lenka Bc.,45,NK,BEZPP,2582.0,2.81,14,12,-
Hruška Vlastimil,46,TOP 09,BEZPP,3417.0,2.62,22,18,-
Hušek Filip,33,NK,BEZPP,2077.0,2.26,29,26,-
Hušková Terezie Mgr.,28,NK,BEZPP,1837.0,2.0,35,32,-
Hylmar Petr Ing.,51,KDU-ČSL,BEZPP,1762.0,2.33,32,30,-
Hypská Vilma MVDr.,39,VPM,BEZPP,2317.0,2.13,37,33,-
Hysek David BcA.,35,VPM,BEZPP,2380.0,2.19,29,25,-
Hýsek Jan MUDr.,35,SNK ED,SNK ED,2336.0,3.1,3,5,-
Hýsková Jaroslava MUDr.,66,SNK ED,BEZPP,1333.0,1.76,37,35,-
Chaloupka Michal,32,Suveren.,BEZPP,622.0,2.35,33,-,-
Jaklová Lenka Mgr.,51,TOP 09,TOP 09,4439.0,3.41,5,3,*
Janečková Jitka Ing.,44,NK,BEZPP,3748.0,2.5,22,17,-
Jareš Roman Mgr.,35,SNK ED,BEZPP,1717.0,2.27,21,19,-
Jaroš Milan,43,ČSSD,ČSSD,6790.0,2.92,10,2,-
Jarošová Jitka,39,KSČM,KSČM,3762.0,2.69,18,13,-
Jedlička Vít Bc.,27,Svobodní,Svobodní,665.0,5.85,1,-,-
Jezbera Daniel RNDr.,47,KDU-ČSL,KDU-ČSL,2140.0,2.84,12,10,-
Jilemnická Lenka,37,NK,BEZPP,1832.0,1.99,34,31,-
Jirásek Záviš,64,KSČM,KSČM,3782.0,2.71,13,8,-
Jiroutová Olga,33,ČSSD,ČSSD,6189.0,2.66,25,17,-
Johnová Václavka,62,Suveren.,BEZPP,610.0,2.3,20,-,-
Juppa Vlastimil Ing.,54,NK,BEZPP,4191.0,2.79,5,4,-
Jůza Emil,74,NK,BEZPP,2696.0,1.79,37,32,-
Kada František Ing.,58,VV,BEZPP,1133.0,2.73,9,-,-
Kahl Pavel,22,Suveren.,BEZPP,651.0,2.46,25,-,-
Kalenda Otakar Bc.,26,ČSSD,ČSSD,6534.0,2.81,4,4,*
Kalhous Petr,49,Svobodní,Svobodní,407.0,3.58,5,-,-
Kašpar Martin Mgr.,30,SNK ED,BEZPP,1887.0,2.5,16,14,-
Kica Jozef,67,KSČM,KSČM,3266.0,2.34,37,32,-
Kinclová Kateřina,38,KDU-ČSL,BEZPP,1458.0,1.93,35,33,-
Klik Stanislav Ing. Ph.D.,35,VPM,BEZPP,3167.0,2.92,12,9,-
Kocáb František,55,ČSSD,ČSSD,5310.0,2.29,36,28,-
Kocourek Jiří Ing.,50,ČSSD,BEZPP,6723.0,2.9,7,7,*
Köhlerová Renata Mgr. Ph.D.,39,NK,BEZPP,2447.0,2.66,19,16,-
Kolman Josef,56,TOP 09,TOP 09,3472.0,2.67,15,12,-
Komárek Stanislav doc. MUDr. CSc.,52,TOP 09,BEZPP,3861.0,2.97,17,13,-
Kopecká Jana,29,EDS,BEZPP,153.0,5.61,10,-,-
Kopecká Ludmila,42,NK,BEZPP,2521.0,2.74,10,9,-
Kopecký Tomáš Mgr.,36,NK,BEZPP,2757.0,3.0,4,7,-
Kopišťová Lenka,50,Suveren.,BEZPP,640.0,2.42,28,-,-
Kořínek Eduard Mgr.,63,KSČM,KSČM,3794.0,2.71,15,10,-
Kosař Michal,26,VV,BEZPP,1065.0,2.56,18,-,-
Koutník Václav Ing.,66,ODS,ODS,5205.0,2.74,14,8,-
Koutník Zdeněk,26,Svobodní,BEZPP,327.0,2.87,27,-,-
Kračmar Jaroslav,58,KSČM,KSČM,3645.0,2.61,24,19,-
Kračmar Libor,50,KSČM,KSČM,3687.0,2.64,22,17,-
Králíček Ivo PhDr.,37,NK,BEZPP,3262.0,3.55,7,2,-
Kramářová Olga Ing. Bc.,42,NK,BEZPP,2291.0,2.49,21,18,-
Krása Marek,29,KDU-ČSL,KDU-ČSL,1592.0,2.11,30,28,-
Krátký Zdeněk,51,KSČM,KSČM,3536.0,2.53,34,29,-
Krčmová Irena MUDr. CSc.,53,NK,BEZPP,4788.0,3.19,4,1,-
Krejcar Jiří,69,KSČM,KSČM,3485.0,2.49,35,30,-
Krofta Jakub Mgr.,39,NK,BEZPP,5233.0,3.49,13,3,*
Krofta Josef prof. Mgr.,67,VPM,BEZPP,4244.0,3.91,5,2,*
Křelina František Ing. arch.,59,NK,BEZPP,3244.0,3.53,5,3,-
Křivánková Lenka,59,ČSSD,ČSSD,6104.0,2.63,26,18,-
Kubát Petr,21,NK,BEZPP,3900.0,2.6,16,11,-
Kubcová Marta,55,SNK ED,BEZPP,1719.0,2.28,26,24,-
Kubec Tomáš,24,Svobodní,BEZPP,311.0,2.73,24,-,-
Kubica Jaroslav RNDr.,51,ČSSD,ČSSD,6452.0,2.78,23,15,-
Kučera Leoš Bc.,36,SNK ED,BEZPP,4639.0,6.15,1,1,*
Kučerová Zita RNDr. Ph.D.,46,VPM,BEZPP,2831.0,2.61,22,18,-
Kusák Valentin Ing.,49,Suveren.,BEZPP,814.0,3.08,4,-,-
Kuthan Pavel Mgr.,32,TOP 09,TOP 09,3643.0,2.8,12,10,-
Kvasničková Eva prof. RNDr. CSc.,76,VPM,BEZPP,3041.0,2.8,11,8,-
Kyral Bohumil Ing.,41,Svobodní,Svobodní,520.0,4.57,3,-,-
Kysilka Otakar,77,ČSSD,ČSSD,4994.0,2.15,37,29,-
Landa Jaroslav,62,KSČM,KSČM,3682.0,2.63,23,18,-
Langer Alois,43,Svobodní,BEZPP,338.0,2.97,16,-,-
Langer Michal,22,Svobodní,BEZPP,301.0,2.64,21,-,-
Lankašová Taťana PhDr. CSc.,57,KSČM,KSČM,4027.0,2.88,4,4,*
Lapešová Hana,59,Suveren.,BEZPP,613.0,2.32,26,-,-
Lapka Zdeněk,32,EDS,BEZPP,123.0,4.51,13,-,-
Lehký Petr Mgr. Bc.,50,VV,BEZPP,1554.0,3.74,10,-,-
Lesák Tomáš,49,ČSSD,ČSSD,6319.0,2.72,21,13,-
Lesák Vladimír,46,ČSSD,ČSSD,6626.0,2.85,3,3,*
Lisá Petra,43,KDU-ČSL,BEZPP,1690.0,2.24,34,32,-
Lisý Pavel Ing.,44,KDU-ČSL,BEZPP,1823.0,2.41,29,27,-
Lišková Romana PhDr.,52,NK,BEZPP,3783.0,2.52,23,18,-
Ludvík Václav Ing.,63,VPM,BEZPP,3349.0,3.09,3,4,-
Luska Tomáš,24,ČSSD,ČSSD,5641.0,2.43,34,26,-
Maclová Anna Ing.,50,KDU-ČSL,BEZPP,3216.0,4.26,5,2,*
Machač Pavel,29,SZ,SZ,2149.0,2.34,20,17,-
Malá Kamila Ing.,34,TOP 09,TOP 09,3409.0,2.62,23,19,-
Málek Bořek Ing.,45,ODS,ODS,5474.0,2.89,3,1,-
Málek Bořivoj Ing.,69,VV,BEZPP,1002.0,2.41,31,-,-
Málek Tomáš Ing.,29,VPM,BEZPP,2586.0,2.38,23,19,-
Malíř Josef Ing.,49,VPM,VPM,3291.0,3.03,6,6,-
Mareček Jan Mgr.,27,ČSSD,ČSSD,6236.0,2.69,27,19,-
Marečková Dana,54,NK,BEZPP,3872.0,2.58,14,9,-
Marek Tomáš Ing.,34,TOP 09,TOP 09,3675.0,2.82,9,8,-
Matějíček Aleš Ing. Ph.D.,30,VPM,BEZPP,2474.0,2.28,30,26,-
Matuška Bohumil JUDr. Ing.,60,TOP 09,TOP 09,2873.0,2.21,34,30,-
Matyska Miroslav,48,Svobodní,BEZPP,437.0,3.84,23,-,-
Mázl Josef Ing.,60,ČSSD,ČSSD,6213.0,2.68,22,14,-
Melgr Jan,35,Suveren.,BEZPP,660.0,2.49,16,-,-
Melgr Jan,58,Suveren.,BEZPP,589.0,2.22,36,-,-
Melichar Bohuslav prof. MUDr. Ph.D.,45,NK,BEZPP,3425.0,3.73,9,3,*
Melichar Josef Ing.,42,KDU-ČSL,BEZPP,1811.0,2.4,28,26,-
Michálek Jan MUDr.,52,ODS,ODS,6229.0,3.28,11,1,*
Michková Ludmila,63,KSČM,KSČM,3627.0,2.59,26,21,-
Mikulková Eva Ing.,51,SNK ED,BEZPP,1934.0,2.56,17,15,-
Mokrý Michal,26,ODS,ODS,4779.0,2.52,28,22,-
Moravec Michal Bc.,37,ODS,ODS,5200.0,2.74,15,9,-
Morávek Jiří Mgr.,52,Suveren.,BEZPP,2035.0,7.7,1,-,-
Morávek Tomáš Ing.,31,SNK ED,BEZPP,2475.0,3.28,6,3,-
Mrnka Petr,35,EDS,BEZPP,141.0,5.17,7,-,-
Munzar Tomáš,38,VV,BEZPP,1020.0,2.45,30,-,-
Myslivec Martin Ing.,37,NK,BEZPP,2160.0,2.35,26,23,-
Nádvorník Richard Ing.,49,TOP 09,TOP 09,4555.0,3.5,1,2,*
Nečasová Markéta Mgr.,29,VPM,BEZPP,2636.0,2.43,26,22,-
Nedvídek Miroslav,45,Suveren.,BEZPP,690.0,2.61,8,-,-
Nejedlý Libor Ing.,59,KSČM,KSČM,3927.0,2.81,5,5,*
Němec Radek Bc.,25,VV,BEZPP,1072.0,2.58,26,-,-
Němeček Jiří PhDr.,67,KDU-ČSL,KDU-ČSL,2934.0,3.89,7,1,-
Netík Petr Ing.,53,Svobodní,Svobodní,650.0,5.72,2,-,-
Niang Mohamadou PharmDr. Ph.D.,55,TOP 09,BEZPP,3960.0,3.04,13,2,-
Novák Pavel Mgr.,43,NK,BEZPP,2395.0,2.6,25,22,-
Novák Petr,27,VV,BEZPP,1102.0,2.65,13,-,-
Novosad Ivan,49,NK,BEZPP,1963.0,2.13,32,29,-
Novotná Libuše,30,Suveren.,BEZPP,595.0,2.25,34,-,-
Novotný Jaroslav,21,VV,BEZPP,1164.0,2.8,22,-,-
Novotný Radek Ing.,35,VPM,BEZPP,3236.0,2.98,15,7,-
Novotný Tomáš Ing.,29,TOP 09,TOP 09,3726.0,2.86,14,11,-
Nožička Jan MUDr. Ph.D.,45,KDU-ČSL,BEZPP,2037.0,2.7,24,22,-
Nyklíček Miloslav,65,ČSSD,ČSSD,5704.0,2.46,33,25,-
Nyklíčková Tereza,37,ČSSD,ČSSD,6521.0,2.81,8,8,*
Ondráček Vlastimil,53,ČSSD,ČSSD,6735.0,2.9,2,2,*
Opitz Jiří,56,NK,BEZPP,3036.0,2.02,36,31,-
Orgoníková Hana Ing.,63,ČSSD,ČSSD,7008.0,3.02,1,1,*
Ornst Ladislav,59,SNK ED,BEZPP,1779.0,2.36,20,18,-
Paděra Pavel,40,Suveren.,BEZPP,643.0,2.43,17,-,-
Pastuszek Rudolf,65,KDU-ČSL,KDU-ČSL,1650.0,2.19,23,21,-
Paukrtová-Hypiusová Zdeňka Mgr.,53,SNK ED,BEZPP,2034.0,2.69,14,12,-
Paulů Zuzana Mgr.,58,NK,BEZPP,3551.0,2.36,32,27,-
Pavel Tomáš Ing.,34,VV,BEZPP,1252.0,3.01,15,-,-
Pavlíček Jiří Ing.,55,NK,BEZPP,3859.0,2.57,12,8,-
Pavlíčková Dana,49,VV,BEZPP,1413.0,3.4,6,-,-
Pečenka Václav,57,VPM,VPM,2646.0,2.44,16,12,-
Petera Josef,38,ODS,ODS,4969.0,2.62,24,18,-
Petřikov Pavel,51,VV,BEZPP,1572.0,3.78,16,-,-
Pirner Jiří Ing.,57,NK,BEZPP,4782.0,3.19,8,2,-
Píša Tomáš,20,Suveren.,BEZPP,646.0,2.44,15,-,-
Píšová Renata,44,Suveren.,BEZPP,714.0,2.7,10,-,-
Pitrová Renata Mgr.,48,TOP 09,TOP 09,3917.0,3.01,7,4,-
Plass Miloslav Bc.,46,ODS,ODS,5324.0,2.81,8,3,-
Podhajská Jana,47,NK,BEZPP,2174.0,2.36,28,25,-
Podhrázský Miroslav,48,KDU-ČSL,BEZPP,1858.0,2.46,25,23,-
Podzimek Vladimír,62,KDU-ČSL,KDU-ČSL,1853.0,2.45,15,13,-
Poláček Jindřich,21,Svobodní,BEZPP,342.0,3.01,19,-,-
Polanská Alena,61,TOP 09,TOP 09,3100.0,2.38,29,25,-
Polášková Anna RNDr.,63,NK,BEZPP,2788.0,3.03,8,6,-
Polda Roman Mgr.,45,VV,BEZPP,1550.0,3.73,8,-,-
Portyková Jana,47,NK,BEZPP,3810.0,2.54,31,26,-
Potoček Josef Ing.,67,KDU-ČSL,KDU-ČSL,1940.0,2.57,13,11,-
Pouzarová Lenka,23,EDS,BEZPP,255.0,9.35,4,-,-
Procházka Miroslav Ing.,50,ODS,ODS,5428.0,2.86,10,5,-
Prokop Evžen,27,EDS,BEZPP,133.0,4.87,12,-,-
Pšenička Jiří,27,Suveren.,BEZPP,638.0,2.41,23,-,-
Půža Miroslav Mgr.,31,VPM,BEZPP,3358.0,3.1,10,3,-
Rádl Miroslav Ing.,51,TOP 09,BEZPP,3742.0,2.87,11,9,-
Ráliš Jaroslav,48,Suveren.,BEZPP,815.0,3.08,5,-,-
Rambousek Pavel Ing.,40,ODS,ODS,5290.0,2.79,13,7,-
Rubáček Jan Ing.,67,ODS,ODS,4914.0,2.59,22,16,-
Rubáš Aleš Bc.,25,Svobodní,BEZPP,387.0,3.4,12,-,-
Rubáš Jakub MSc,27,Svobodní,BEZPP,351.0,3.08,14,-,-
Rus Vladimír,59,KSČM,KSČM,3653.0,2.61,28,23,-
Růža Vladislav,57,NK,BEZPP,3791.0,2.52,20,15,-
Rýdel Daniel,56,NK,BEZPP,1850.0,2.01,33,30,-
Rýgl Miloslav,65,Suveren.,BEZPP,616.0,2.33,24,-,-
Rytíř Pavel Ing.,61,ALTER,BEZPP,4005.0,2.67,10,6,-
Řehoř Václav,30,ODS,ODS,4990.0,2.63,19,13,-
Říha Michal,27,ČSSD,ČSSD,6063.0,2.61,28,20,-
Říhová Helena Mgr.,25,NK,BEZPP,1603.0,1.74,37,34,-
Sedláček Martin Ing.,29,Svobodní,BEZPP,400.0,3.52,10,-,-
Schovánková Jana,41,ČSSD,ČSSD,6335.0,2.73,19,11,-
Skrbek Jan,62,VPM,BEZPP,2336.0,2.15,31,27,-
Slusarčuk Ivan,62,Suveren.,BEZPP,605.0,2.29,29,-,-
Smetana David,38,KDU-ČSL,KDU-ČSL,2197.0,2.91,18,16,-
Smíšek Pavel,33,KSČM,BEZPP,3858.0,2.76,10,5,-
Smolej Milan,32,EDS,EDS,186.0,6.82,1,-,-
Sommer Milan Ing.,53,TOP 09,TOP 09,4104.0,3.15,3,4,*
Součková Marie,41,Suveren.,BEZPP,716.0,2.71,11,-,-
Soukup Martin Ing.,44,ODS,ODS,5881.0,3.1,2,4,*
Sova Jiří PharmDr.,50,NK,BEZPP,4030.0,2.68,18,13,-
Sovová Kristýna,23,VPM,BEZPP,2164.0,1.99,34,30,-
Springer Vladimír Mgr.,65,NK,BEZPP,5062.0,3.37,3,4,*
Springerová Pavlína Mgr. et Mgr. PhD.,33,NK,BEZPP,3648.0,2.43,33,28,-
Staněk František,53,TOP 09,BEZPP,3960.0,3.04,16,3,-
Staněk Pavel JUDr.,37,ODS,ODS,5490.0,2.89,9,4,-
Stejskal Petr Ing.,43,KDU-ČSL,KDU-ČSL,2297.0,3.04,2,6,-
Stejskalová Kateřina Mgr.,44,KDU-ČSL,BEZPP,1479.0,1.96,36,34,-
Steklík Ondřej,26,Svobodní,BEZPP,298.0,2.62,25,-,-
Steklý Josef,57,KSČM,KSČM,3950.0,2.83,6,1,-
Stoszek Dalibor MUDr.,34,TOP 09,TOP 09,3285.0,2.52,26,22,-
Stránský Josef,61,KSČM,KSČM,3667.0,2.62,27,22,-
Stružák Michal,48,KSČM,KSČM,3820.0,2.73,9,4,-
Sůva Jan,33,KSČM,BEZPP,3785.0,2.71,12,7,-
Svatoň Patrik,34,Suveren.,BEZPP,747.0,2.82,37,-,-
Svatoň Tomáš,28,Suveren.,SDŽ,638.0,2.41,13,-,-
Svatoňová Danuše,55,Suveren.,BEZPP,632.0,2.39,22,-,-
Svoboda Karel,74,Suveren.,BEZPP,695.0,2.63,6,-,-
Svobodová Ivanka,66,NK,BEZPP,2279.0,2.48,15,13,-
Sýkora Jan Mgr.,32,TOP 09,BEZPP,3124.0,2.4,32,28,-
Šafaříková Iveta,37,TOP 09,TOP 09,2758.0,2.12,35,31,-
Šándorová Zdenka PaedDr. Ph.D.,48,ČSSD,ČSSD,6097.0,2.63,31,23,-
Šaršon Jindřich Ing.,57,NK,BEZPP,3783.0,2.52,21,16,-
Šejvl Josef,38,ODS,ODS,4920.0,2.59,23,17,-
Šikulová Marcela,59,KSČM,KSČM,3726.0,2.67,16,11,-
Šilhan Václav MUDr.,41,NK,BEZPP,3664.0,2.44,29,24,-
Šilhánková Vladimíra doc. Ing. arch. Ph.D.,39,VPM,BEZPP,3860.0,3.56,2,3,*
Šimek Bořivoj,49,TOP 09,BEZPP,3055.0,2.35,30,26,-
Šimůnek Tomáš doc. PharmDr. Ph.D.,34,NK,BEZPP,2677.0,2.91,22,19,-
Široký Roman Ing. Bc.,36,TOP 09,TOP 09,3683.0,2.83,6,6,-
Škarda Luděk,45,VV,BEZPP,1000.0,2.41,33,-,-
Školoud Otakar Ing.,61,ČSSD,ČSSD,6285.0,2.71,20,12,-
Škorpil Ladislav,65,NK,BEZPP,5534.0,3.69,7,2,*
Škvrna Pavel Ing.,39,Svobodní,BEZPP,426.0,3.75,17,-,-
Šmejda Miroslav,60,KSČM,KSČM,3689.0,2.64,20,15,-
Šmejdová Hana,32,EDS,BEZPP,132.0,4.84,8,-,-
Šmíd Stanislav,64,ČSSD,ČSSD,5938.0,2.56,30,22,-
Šonka Pavel,64,NK,BEZPP,3923.0,2.61,19,14,-
Šormová Táňa Mgr.,54,KSČM,BEZPP,4124.0,2.95,7,2,-
Špičánová Lenka,26,Suveren.,BEZPP,620.0,2.34,30,-,-
Šťastná Ivana Mgr.,55,Suveren.,BEZPP,975.0,3.69,7,-,-
Štěchovský Jaroslav Ing.,68,NK,BEZPP,3582.0,2.39,25,20,-
Štěpán Jan Ing.,46,TOP 09,TOP 09,2868.0,2.2,33,29,-
Štěpán Lubomír Ing.,56,KSČM,KSČM,4458.0,3.19,2,2,*
Štěrbová Naďa Mgr.,55,ODS,ODS,5720.0,3.02,4,5,*
Štětina Jiří MUDr.,69,VV,BEZPP,2146.0,5.17,14,-,-
Štolfa Miroslav,21,Svobodní,BEZPP,367.0,3.23,20,-,-
Švagerka David,37,Suveren.,BEZPP,659.0,2.49,19,-,-
Švorc Petr,45,Svobodní,BEZPP,378.0,3.32,18,-,-
Tamáš Vojtěch Ing.,31,ČSSD,ČSSD,6478.0,2.79,18,10,-
Telecký Petr,41,VV,BEZPP,1141.0,2.75,17,-,-
Tesner Jiří,29,ODS,ODS,3861.0,2.03,37,31,-
Tichý Jan Ing.,28,EDS,BEZPP,231.0,8.47,5,-,-
Tláskal Ivan,45,NK,BEZPP,2379.0,2.59,16,14,-
Tomáš Michael,22,NK,BEZPP,3408.0,2.27,30,25,-
Tomek Otto,43,KSČM,BEZPP,3820.0,2.73,8,3,-
Tomšů Svatopluk Ing.,37,Svobodní,BEZPP,473.0,4.16,9,-,-
Trkalová Lenka DiS.,43,KSČM,BEZPP,4512.0,3.23,1,1,*
