Name,Age,Nominating party,Political party,Votes 2010,Percentual gain 2010,Ballot rank,Final rank,Mandate
Astapenko David,23,EDS,BEZPP,147.0,5.39,9,-,-
Audrlický Zdeněk,64,NK,BEZPP,2107.0,2.29,27,24,-
Baloun Radek Mgr.,38,TOP 09,BEZPP,3547.0,2.72,25,21,-
Banszel Teofil Ing.,38,TOP 09,TOP 09,3335.0,2.56,24,20,-
Baraňáková Markéta PaedDr.,48,ODS,ODS,5075.0,2.68,26,20,-
Barták Pavel Ing. Ph.D.,47,ODS,ODS,4925.0,2.6,29,23,-
Bednář Michal,21,EDS,BEZPP,159.0,5.83,16,-,-
Bejček Karel Mgr.,66,NK,BEZPP,2756.0,3.0,18,8,-
Bejčková Marcela,43,ČSSD,ČSSD,6225.0,2.68,24,16,-
Benešová Hana,38,VV,VV,1485.0,3.57,4,-,-
Berák Miroslav,49,Suveren.,SDŽ,821.0,3.1,2,-,-
Beráková Dana Mgr.,45,Suveren.,BEZPP,666.0,2.52,18,-,-
Bergerová Věra,59,KSČM,KSČM,3765.0,2.69,17,12,-
Berounský Miloš,38,SNK ED,BEZPP,1837.0,2.43,10,8,-
Bezděk Karel,36,EDS,BEZPP,112.0,4.1,11,-,-
Bezdíčková Ivana,54,VV,VV,1724.0,4.15,1,-,-
Bezvoda Jaromír,58,Svobodní,BEZPP,398.0,3.5,13,-,-
Bílý Zdeněk,40,Suveren.,BEZPP,738.0,2.79,9,-,-
Bláha Jiří Ing. Bc.,56,ODS,ODS,5203.0,2.74,17,11,-
Bláhová Věra Mgr.,44,KDU-ČSL,BEZPP,1782.0,2.36,22,20,-
Bohdanecký Jiří M.,43,KDU-ČSL,BEZPP,1509.0,2.0,33,31,-
Boštík Václav,76,NK,BEZPP,3512.0,2.34,26,21,-
Bříza Miroslav,67,KSČM,KSČM,3579.0,2.56,32,27,-
Burgr František,50,VPM,BEZPP,2213.0,2.04,35,31,-
Buršíková Anna,73,Suveren.,BEZPP,579.0,2.19,32,-,-
Bury Josef,42,VPM,BEZPP,2205.0,2.03,33,29,-
Burýšková Blanka Mgr. Ph.D.,33,NK,BEZPP,2290.0,2.49,24,21,-
Cabal Jiří,23,NK,BEZPP,3732.0,2.49,15,10,-
Cejnar Jiří,54,KSČM,KSČM,3445.0,2.46,36,31,-
Cerman Jaroslav MUDr. Ph.D.,45,NK,BEZPP,3505.0,3.81,6,2,*
Copko Vlastimil Ing.,59,VV,VV,1020.0,2.45,23,-,-
Cvejn Zdeněk Mgr. Ing.,29,ODS,ODS,5157.0,2.72,18,12,-
Čáp Bohuslav Ing.,59,KDU-ČSL,BEZPP,1795.0,2.38,19,17,-
Čapek Jan Mgr.,31,EDS,EDS,219.0,8.03,6,-,-
Čapek Jaroslav Mgr.,61,EDS,EDS,242.0,8.87,2,-,-
Čep Vladimír,67,ČSSD,ČSSD,6269.0,2.7,17,9,-
Čepová Daniela,21,VPM,BEZPP,2705.0,2.49,19,15,-
Čepová Petra,40,VPM,BEZPP,2651.0,2.44,24,20,-
Čermák Jiří Bc.,27,SZ,SZ,2334.0,2.54,11,10,-
Černovský Marek,22,Suveren.,BEZPP,624.0,2.36,21,-,-
Černý Daniel MUDr.,36,SNK ED,BEZPP,2062.0,2.73,9,7,-
Černý Martin Ing.,29,ODS,ODS,4663.0,2.46,31,25,-
Černý Pavel,25,ODS,BEZPP,4954.0,2.61,30,24,-
Čeřovský Václav Ing. arch.,84,TOP 09,TOP 09,3366.0,2.59,20,16,-
Česáková Lucie Mgr.,30,VV,BEZPP,1104.0,2.66,19,-,-
Čížek Jan Ing. arch.,49,VV,BEZPP,1373.0,3.3,11,-,-
Čonková Miloslava Bc.,24,VPM,BEZPP,2283.0,2.1,32,28,-
Daňo Vladimír,59,KSČM,KSČM,3587.0,2.57,31,26,-
David Jaroslav,57,ČSSD,ČSSD,5988.0,2.58,29,21,-
Dlabáčková Eva,61,NK,BEZPP,3576.0,2.38,28,23,-
Dlouhá Libuše,34,VV,BEZPP,955.0,2.3,32,-,-
Doležal Tomáš Ing.,52,NK,BEZPP,2462.0,2.68,12,11,-
Doležal Vladimír,47,TOP 09,TOP 09,3599.0,2.76,8,7,-
Doskočil Jan Ing.,68,TOP 09,BEZPP,3983.0,3.06,10,1,-
Dostál Hynek Mgr. Ph.D.,37,Svobodní,BEZPP,763.0,6.71,6,-,-
