Name,Age,Nominating party,Political party,Votes 2014,Percentual gain 2014,Ballot rank,Final rank,Mandate
Duchoň Radoslav,57,HDK,BEZPP,5882.0,2.33,33,21,-
Dürrer Jan Ing.,60,HDK,BEZPP,6908.0,2.73,14,2,-
Dűrrer Jan,24,Úsvit,BEZPP,387.0,2.67,9,-,-
Dűrrer Martin,26,Úsvit,BEZPP,310.0,2.14,37,-,-
Dus Ondřej Oskar,19,HDK,BEZPP,4838.0,1.91,37,25,-
Dus Rudolf Bc.,59,ČSSD,ČSSD,3385.0,2.9,6,3,-
Dusová Romana Ing.,46,HDK,BEZPP,6482.0,2.57,27,15,-
Dušek Michal,24,Úsvit,BEZPP,341.0,2.35,25,-,-
Dvořáčková Dana Mgr.,46,VPM,BEZPP,413.0,1.74,29,-,-
Dvořák Jan PhDr.,62,NK,BEZPP,731.0,2.28,37,-,-
Dvořák Michal,33,NK,BEZPP,197.0,2.48,11,-,-
Eminger Stanislav,50,ODS,ODS,1636.0,2.61,17,14,-
Fajfr Jan Bc.,36,ODS,ODS,1526.0,2.43,28,25,-
Falta Jan Ing.arch.,48,KDU-ČSL,KDU-ČSL,2161.0,3.55,4,2,-
Falta Petr,28,KSČM,KSČM,2669.0,2.7,14,10,-
Faltýnek Jan Mgr.,55,HDK,BEZPP,6822.0,2.7,24,12,-
Fedorová Pavla,38,NK,BEZPP,278.0,2.31,28,-,-
Feix Radek Ing.,27,HRAD.PATRIOTI,BEZPP,527.0,2.82,8,-,-
Ferčák Dušan Ing.,52,ČSSD,ČSSD,2866.0,2.46,33,28,-
Fiala Petr MgA.,38,HDK,BEZPP,5863.0,2.32,34,22,-
Fialová Lenka DiS.,47,KSČM,BEZPP,2897.0,2.93,2,3,*
Fiedler Jiří Ing.,58,VPM,BEZPP,484.0,2.04,22,-,-
Filip Jaroslav,28,ODS,ODS,1710.0,2.73,7,5,-
Filipová Alena,68,Úsvit,BEZPP,350.0,2.41,27,-,-
Fink Zdeněk MUDr.,59,HDK,HDK,10870.0,4.31,1,1,*
Foret Vladimír Ing.,67,ČSSD,ČSSD,2588.0,2.22,36,31,-
Fraňo Jan,28,NK,BEZPP,175.0,2.21,20,-,-
Freislebenová Andrea,25,Úsvit,BEZPP,376.0,2.59,12,-,-
Friedlová Libuše Mgr.,52,ANO,BEZPP,3925.0,2.8,11,5,-
Fröhlichová Jana Mgr.,29,ČSSD,ČSSD,3281.0,2.81,11,7,-
Frydrych Jakub Mgr.,32,Svobodní,Svobodní,873.0,3.48,1,-,-
Fűrst Jindřich,41,Úsvit,BEZPP,332.0,2.29,32,-,-
Gelbič Jiří,66,ANO,BEZPP,3375.0,2.41,33,27,-
"Groh Jan Ing. LL.M., MBA",35,ANO,ANO,4125.0,2.94,4,4,*
Grus Petr,30,Úsvit,BEZPP,342.0,2.36,28,-,-
Hájková Kateřina Mgr.,40,NK,BEZPP,723.0,2.25,30,-,-
Hamáček Jaroslav,45,NK,BEZPP,1597.0,2.85,18,16,-
Hanousek Martin Mgr.,31,Zelení,Zelení,2143.0,3.82,2,2,*
Hanuš Jiří,51,KDU-ČSL,BEZPP,1504.0,2.47,23,21,-
Hartig Zdeněk,56,VPM,BEZPP,657.0,2.77,9,-,-
Havlíček Michal PhDr.,59,VPM,BEZPP,499.0,2.1,15,-,-
Havrda Alois Ing.,67,KSČM,BEZPP,2983.0,3.01,3,2,*
Heger Leoš doc. MUDr. CSc.,66,TOP 09,TOP 09,3757.0,5.69,13,1,*
Heger Leoš Bc.,40,NK,BEZPP,1121.0,3.5,13,-,-
